Level 3 Annotation	cells	patients	samples	treatment_states
Malignant	64538	43	44	4
CAF	44369	43	44	4
Ductal	24627	36	36	4
Vascular	15530	43	44	4
Pericyte	11779	43	44	4
myCAF	10566	36	37	4
Macrophage	10140	43	44	4
Acinar	5171	30	30	4
Ductal (atypical)	4991	32	32	4
Vascular smooth muscle	4711	20	21	4
ADM	3233	17	17	4
Beta	3152	34	34	4
Alpha	2723	29	29	4
CD8+ T	2526	39	40	4
CD4+ T	1839	28	29	4
Schwann	1824	43	44	4
Gamma	1716	29	29	4
Lymphatic	1645	38	39	4
Hormone-negative neuroendocrine	1608	20	20	4
B	1573	27	28	4
Dendritic (conventional type 2)	1008	37	38	4
CD8+ T (dysfunctional)	967	26	27	4
Natural killer	927	34	35	4
Delta	556	31	31	4
Adipocyte	531	17	18	4
Treg	463	28	29	4
CD8+ T (terminally dysfunctional)	419	28	29	4
Plasma	282	28	29	4
Mast	281	26	26	4
Treg (activated)	266	26	26	4
Acinar (REG+)	186	10	10	4
Dendritic (conventional type 1)	181	30	31	4
CD8+ T (progenitor dysfunctional)	142	22	22	4
Dendritic (plasmacytoid)	139	19	20	4
Treg (quiescent)	119	14	14	4
Neutrophil	98	15	15	4
Dendritic (activated)	91	26	27	4
Epsilon	46	6	6	4
Intra-pancreatic neurons	25	9	9	4
