program	Level 3 Annotation	cells	patients	median_cell_score	cell_score_iqr_low	cell_score_iqr_high	positive_fraction
mregDC_like	ADM	3233	17	-0.023401712998747826	-0.03265063464641571	-0.013968357816338539	0.025982060006186206
mregDC_like	Acinar	5171	30	-0.017539007589221	-0.026595119386911392	-0.009232938289642334	0.023399729259330884
mregDC_like	Acinar (REG+)	186	10	-0.02064868062734604	-0.03094932809472084	-0.010515892878174782	0.03225806451612903
mregDC_like	Adipocyte	531	17	-0.017585301771759987	-0.026546336710453033	-0.009245410561561584	0.03766478342749529
mregDC_like	Alpha	2723	29	-0.021675946190953255	-0.03098268061876297	-0.013446416705846786	0.0044069041498347415
mregDC_like	B	1573	27	-0.019974660128355026	-0.03418537974357605	0.09180710464715958	0.2574698029243484
mregDC_like	Beta	3152	34	-0.02317589335143566	-0.033540770411491394	-0.012552282772958279	0.00951776649746193
mregDC_like	CAF	44369	43	-0.013698874041438103	-0.022696904838085175	-0.006047618109732866	0.05447497126372017
mregDC_like	CD4+ T	1839	28	-0.008723326027393341	-0.01945408433675766	0.2247701734304428	0.2767808591625884
mregDC_like	CD8+ T	2526	39	-0.010433873161673546	-0.018928473815321922	0.0	0.03167062549485352
mregDC_like	CD8+ T (dysfunctional)	967	26	-0.01160474307835102	-0.021644970402121544	-0.006241231691092253	0.0703205791106515
mregDC_like	CD8+ T (progenitor dysfunctional)	142	22	-0.013362024910748005	-0.021488528698682785	-0.0013496761675924063	0.09859154929577464
mregDC_like	CD8+ T (terminally dysfunctional)	419	28	-0.020224906504154205	-0.0285688154399395	-0.009741726331412792	0.031026252983293555
mregDC_like	Delta	556	31	-0.025232095271348953	-0.034602612257003784	-0.015730682760477066	0.007194244604316547
mregDC_like	Dendritic (activated)	91	26	0.8321768045425415	0.5511534214019775	1.1248080730438232	0.945054945054945
mregDC_like	Dendritic (conventional type 1)	181	30	-0.0056597222574055195	-0.02022540383040905	0.26537346839904785	0.43646408839779005
mregDC_like	Dendritic (conventional type 2)	1008	37	0.22739122807979584	-0.014590668492019176	0.4272926449775696	0.5615079365079365
mregDC_like	Dendritic (plasmacytoid)	139	19	-0.02110385149717331	-0.034987419843673706	0.15110114216804504	0.2805755395683453
mregDC_like	Ductal	24627	36	-0.016371509060263634	-0.02493438869714737	-0.008349251933395863	0.010313883136395014
mregDC_like	Ductal (atypical)	4991	32	-0.01800847426056862	-0.02571084350347519	-0.011032845824956894	0.011821278300941694
mregDC_like	Epsilon	46	6	-0.01715538650751114	-0.02391785755753517	-0.011607387103140354	0.0
mregDC_like	Gamma	1716	29	-0.01772942580282688	-0.027379704639315605	-0.009185354225337505	0.008158508158508158
mregDC_like	Hormone-negative neuroendocrine	1608	20	-0.03324968367815018	-0.041702792048454285	-0.02551387809216976	0.010572139303482588
mregDC_like	Intra-pancreatic neurons	25	9	-0.050870381295681	-0.05856695771217346	-0.032287418842315674	0.12
mregDC_like	Lymphatic	1645	38	-0.012563693337142467	-0.021885911002755165	-0.005385988391935825	0.13738601823708207
mregDC_like	Macrophage	10140	43	-0.007817892357707024	-0.019478069618344307	0.24399735033512115	0.33106508875739643
mregDC_like	Malignant	64538	43	-0.02028445154428482	-0.03141474723815918	-0.00992569513618946	0.056943196256469056
mregDC_like	Mast	281	26	-0.013974877074360847	-0.022384999319911003	-0.0069791353307664394	0.028469750889679714
mregDC_like	Natural killer	927	34	-0.016214294359087944	-0.027876611799001694	-0.008702453225851059	0.034519956850053934
mregDC_like	Neutrophil	98	15	-0.011622754856944084	-0.02133067324757576	0.0	0.02040816326530612
mregDC_like	Pericyte	11779	43	-0.014788759872317314	-0.023554598912596703	-0.007099263370037079	0.04508022752355888
mregDC_like	Plasma	282	28	-0.020276181399822235	-0.033672042191028595	0.0	0.23404255319148937
mregDC_like	Schwann	1824	43	-0.019921135157346725	-0.029166195541620255	-0.010648048482835293	0.02631578947368421
mregDC_like	Treg	463	28	-0.011395632289350033	-0.021028822287917137	0.0	0.1101511879049676
mregDC_like	Treg (activated)	266	26	-0.018047749996185303	-0.028561457991600037	-0.007730359211564064	0.12781954887218044
mregDC_like	Treg (quiescent)	119	14	-0.009294884279370308	-0.018628891557455063	0.0	0.24369747899159663
mregDC_like	Vascular	15530	43	-0.013450702652335167	-0.021543296054005623	-0.006142859347164631	0.07385705086928525
mregDC_like	Vascular smooth muscle	4711	20	-0.01437268778681755	-0.022129839286208153	-0.00784261990338564	0.01294841859477818
mregDC_like	myCAF	10566	36	-0.016361668705940247	-0.025459595024585724	-0.008008108474314213	0.05706984667802385
Tfh_like	ADM	3233	17	-0.04742942750453949	-0.07070403546094894	0.011946558952331543	0.2663161150634086
Tfh_like	Acinar	5171	30	-0.0460021086037159	-0.06620289385318756	-0.013990598730742931	0.21040417714175208
Tfh_like	Acinar (REG+)	186	10	-0.0355721078813076	-0.05037124454975128	-0.022671382874250412	0.05913978494623656
Tfh_like	Adipocyte	531	17	0.06573265045881271	-0.034536201506853104	0.17852923274040222	0.5404896421845574
Tfh_like	Alpha	2723	29	-0.05664956197142601	-0.0702868327498436	-0.03765425831079483	0.04149834741094381
Tfh_like	B	1573	27	-0.037921253591775894	-0.06476163864135742	0.1499795913696289	0.3776223776223776
Tfh_like	Beta	3152	34	-0.0497569814324379	-0.06876250356435776	-0.02853839099407196	0.051078680203045686
Tfh_like	CAF	44369	43	-0.03503570705652237	-0.05428194999694824	-0.007477112580090761	0.22098762649597692
Tfh_like	CD4+ T	1839	28	0.3295880854129791	0.19350874423980713	0.4740084409713745	0.8227297444263186
Tfh_like	CD8+ T	2526	39	0.22228465974330902	-0.020425142720341682	0.38053157925605774	0.5744259699129057
Tfh_like	CD8+ T (dysfunctional)	967	26	0.18070738017559052	-0.037209443747997284	0.3131753206253052	0.546018614270941
Tfh_like	CD8+ T (progenitor dysfunctional)	142	22	0.32431262731552124	0.22421130537986755	0.4629424810409546	0.852112676056338
Tfh_like	CD8+ T (terminally dysfunctional)	419	28	-0.014858761802315712	-0.053604692220687866	0.2184864580631256	0.4988066825775656
Tfh_like	Delta	556	31	-0.06281573325395584	-0.0788235291838646	-0.043497271835803986	0.07733812949640288
Tfh_like	Dendritic (activated)	91	26	0.24886927008628845	0.09310664236545563	0.39434102177619934	0.8351648351648352
Tfh_like	Dendritic (conventional type 1)	181	30	0.20831477642059326	0.10783254355192184	0.3453923761844635	0.8232044198895028
Tfh_like	Dendritic (conventional type 2)	1008	37	-0.009154919534921646	-0.04932998865842819	0.17978931963443756	0.4771825396825397
Tfh_like	Dendritic (plasmacytoid)	139	19	0.11822852492332458	-0.038351744413375854	0.20897997915744781	0.6474820143884892
Tfh_like	Ductal	24627	36	-0.04045597463846207	-0.060088641941547394	-0.013704417273402214	0.17683842936614286
Tfh_like	Ductal (atypical)	4991	32	-0.04924333095550537	-0.06947629153728485	0.04005187749862671	0.32939290723301945
Tfh_like	Epsilon	46	6	-0.03613948076963425	-0.057642098516225815	-0.023763839155435562	0.10869565217391304
Tfh_like	Gamma	1716	29	-0.045487500727176666	-0.059801653027534485	-0.02625039964914322	0.06118881118881119
Tfh_like	Hormone-negative neuroendocrine	1608	20	-0.07473157346248627	-0.08329080790281296	-0.06350737810134888	0.053482587064676616
Tfh_like	Intra-pancreatic neurons	25	9	-0.042421869933605194	-0.09045467525720596	0.06025989353656769	0.36
Tfh_like	Lymphatic	1645	38	-0.05331382155418396	-0.06807328015565872	-0.035557109862565994	0.10212765957446808
Tfh_like	Macrophage	10140	43	-0.03219612315297127	-0.052822962403297424	0.05139283835887909	0.2725838264299803
Tfh_like	Malignant	64538	43	-0.04957076162099838	-0.06992843002080917	-0.02241651713848114	0.16954352474511142
Tfh_like	Mast	281	26	-0.03420906886458397	-0.04748834669589996	-0.015317943878471851	0.1423487544483986
Tfh_like	Natural killer	927	34	-0.026821700856089592	-0.053875405341386795	0.20811186730861664	0.38727076591154264
Tfh_like	Neutrophil	98	15	-0.007916131056845188	-0.020769823342561722	0.26806166768074036	0.37755102040816324
Tfh_like	Pericyte	11779	43	-0.029053492471575737	-0.057301826775074005	0.14090397953987122	0.43280414296629593
Tfh_like	Plasma	282	28	-0.015566005371510983	-0.057613931596279144	0.21258102357387543	0.4929078014184397
