program	Level 3 Annotation	cells	gene_coverage	score_zero_fraction	detection_layer	gene	gene_detection_fraction
mregDC_like	ADM	3233	1.0	0.9740179399938138	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.009279307145066501
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.010516548097742036
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0009279307145066501
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0003093102381688834
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.004330343334364367
mregDC_like	ADM	3233			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.0012372409526755336
mregDC_like	Acinar	5171	1.0	0.9766002707406691	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.011023012956874878
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.0038677238445175015
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0009669309611293754
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.00038677238445175013
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.004641268613421002
mregDC_like	Acinar	5171			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.003094179075614001
mregDC_like	Acinar (REG+)	186	1.0	0.967741935483871	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.0
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.026881720430107527
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.0
mregDC_like	Acinar (REG+)	186			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.005376344086021506
mregDC_like	Adipocyte	531	1.0	0.9623352165725048	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.003766478342749529
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.003766478342749529
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.005649717514124294
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.0018832391713747645
mregDC_like	Adipocyte	531			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.022598870056497175
mregDC_like	Alpha	2723	1.0	0.9955930958501653	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.0029379360998898272
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.0003672420124862284
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.0003672420124862284
mregDC_like	Alpha	2723			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.0007344840249724568
mregDC_like	B	1573	1.0	0.7425301970756516	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.009535918626827717
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.0
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.1621106166560712
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.027972027972027972
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.030514939605848695
mregDC_like	B	1573			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.05785123966942149
mregDC_like	Beta	3152	1.0	0.9904822335025381	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.004758883248730965
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.0009517766497461929
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0012690355329949238
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.00031725888324873094
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.0015862944162436548
mregDC_like	Beta	3152			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.0006345177664974619
mregDC_like	CAF	44369	1.0	0.9455250287362799	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.0004733034325767991
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.038585498884356195
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.0029750501476255944
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.01048029029277198
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.001622754625977597
mregDC_like	CAF	44369			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.0011945277107890645
mregDC_like	CD4+ T	1839	1.0	0.7232191408374117	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.001087547580206634
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.0
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.27297444263186516
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0027188689505165853
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.0016313213703099511
mregDC_like	CD4+ T	1839			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.002175095160413268
mregDC_like	CD8+ T	2526	1.0	0.9683293745051464	raw UMI counts (same sparse zero pattern as X verified globally)		
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	LAMP3	0.001979414093428345
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	FSCN1	0.000395882818685669
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	CCR7	0.022169437846397466
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	CCL19	0.0023752969121140144
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	CD80	0.003167062549485352
mregDC_like	CD8+ T	2526			raw UMI counts (same sparse zero pattern as X verified globally)	CD86	0.001979414093428345
