gsm	title	tissue_class	sample_type_norm	program	gene	tissue_detection_fraction
GSM8514529	pdac1	lymph_node	ffpe	DC_core	FCER1A	0.00441257584114727
GSM8514529	pdac1	lymph_node	ffpe	DC_core	CLEC10A	0.07115278543849972
GSM8514529	pdac1	lymph_node	ffpe	DC_core	CD1C	0.02978488692774407
GSM8514529	pdac1	lymph_node	ffpe	DC_core	CST3	0.2774407060121346
GSM8514529	pdac1	lymph_node	ffpe	DC_core	HLA-DRA	0.4031991174848318
GSM8514529	pdac1	lymph_node	ffpe	DC_core	HLA-DPA1	0.29509100937672367
GSM8514529	pdac1	lymph_node	ffpe	DC_core	HLA-DPB1	0.26806398234969664
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	LAMP3	0.015444015444015444
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	FSCN1	0.03750689464975179
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	CCR7	0.1141753998896856
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	CCL19	0.12630998345284059
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	CD80	0.012134583563154992
GSM8514529	pdac1	lymph_node	ffpe	mregDC_strict	CD86	0.03143960286817429
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	CD3D	0.10369553226696084
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	CD3E	0.1075565361279647
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	CD4	0.07611693325979041
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	CXCR5	0.07115278543849972
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	PDCD1	0.00827357970215113
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	ICOS	0.011031439602868174
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	BCL6	0.1891891891891892
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	IL7R	0.19801434087148373
GSM8514529	pdac1	lymph_node	ffpe	Tfh_like	CXCL13	0.06508549365692223
GSM8514529	pdac1	lymph_node	ffpe	B_cell_strict	MS4A1	0.1897407611693326
GSM8514529	pdac1	lymph_node	ffpe	B_cell_strict	CD79A	0.15388858246001103
GSM8514529	pdac1	lymph_node	ffpe	B_cell_strict	CD79B	0.13072255929398788
GSM8514529	pdac1	lymph_node	ffpe	B_cell_strict	CD22	0.138996138996139
GSM8514529	pdac1	lymph_node	ffpe	B_cell_strict	CD37	0.3524544953116382
GSM8514529	pdac1	lymph_node	ffpe	Plasma_cell	MZB1	0.09376723662437948
GSM8514529	pdac1	lymph_node	ffpe	Plasma_cell	SDC1	0.02040816326530612
GSM8514529	pdac1	lymph_node	ffpe	Plasma_cell	XBP1	0.2675124103695532
GSM8514530	pdac2	tumor	ffpe	DC_core	FCER1A	0.009792401096748922
GSM8514530	pdac2	tumor	ffpe	DC_core	CLEC10A	0.07168037602820211
GSM8514530	pdac2	tumor	ffpe	DC_core	CD1C	0.009792401096748922
GSM8514530	pdac2	tumor	ffpe	DC_core	CST3	0.763023893458676
GSM8514530	pdac2	tumor	ffpe	DC_core	HLA-DRA	0.7896592244418331
GSM8514530	pdac2	tumor	ffpe	DC_core	HLA-DPA1	0.5624755189972581
GSM8514530	pdac2	tumor	ffpe	DC_core	HLA-DPB1	0.5754014884449667
GSM8514530	pdac2	tumor	ffpe	mregDC_strict	LAMP3	0.05052878965922444
GSM8514530	pdac2	tumor	ffpe	mregDC_strict	FSCN1	0.25773599686643167
GSM8514530	pdac2	tumor	ffpe	mregDC_strict	CCR7	0.07128867998433217
