B_cell_strict_gene_coverage_fraction	B_cell_strict_genes_detected_at_1pct	B_cell_strict_genes_detected_in_tissue	B_cell_strict_genes_in_features	DC_core_gene_coverage_fraction	DC_core_genes_detected_at_1pct	DC_core_genes_detected_in_tissue	DC_core_genes_in_features	Plasma_cell_gene_coverage_fraction	Plasma_cell_genes_detected_at_1pct	Plasma_cell_genes_detected_in_tissue	Plasma_cell_genes_in_features	Tfh_like_gene_coverage_fraction	Tfh_like_genes_detected_at_1pct	Tfh_like_genes_detected_in_tissue	Tfh_like_genes_in_features	array_cols_tissue	array_rows_tissue	barcodes_present	coordinate_barcode_overlap_fraction	coordinates_present	disease state	features_present	gsm	images_present	largest_tissue_component_fraction	largest_tissue_component_spots	marker_BCL6_tissue_detection_fraction	marker_CCL19_tissue_detection_fraction	marker_CCR7_tissue_detection_fraction	marker_CD1C_tissue_detection_fraction	marker_CD22_tissue_detection_fraction	marker_CD37_tissue_detection_fraction	marker_CD3D_tissue_detection_fraction	marker_CD3E_tissue_detection_fraction	marker_CD4_tissue_detection_fraction	marker_CD79A_tissue_detection_fraction	marker_CD79B_tissue_detection_fraction	marker_CD80_tissue_detection_fraction	marker_CD86_tissue_detection_fraction	marker_CLEC10A_tissue_detection_fraction	marker_CST3_tissue_detection_fraction	marker_CXCL13_tissue_detection_fraction	marker_CXCR5_tissue_detection_fraction	marker_FCER1A_tissue_detection_fraction	marker_FSCN1_tissue_detection_fraction	marker_HLA-DPA1_tissue_detection_fraction	marker_HLA-DPB1_tissue_detection_fraction	marker_HLA-DRA_tissue_detection_fraction	marker_ICOS_tissue_detection_fraction	marker_IL7R_tissue_detection_fraction	marker_LAMP3_tissue_detection_fraction	marker_MS4A1_tissue_detection_fraction	marker_MZB1_tissue_detection_fraction	marker_PDCD1_tissue_detection_fraction	marker_SDC1_tissue_detection_fraction	marker_XBP1_tissue_detection_fraction	marker_feature_coverage_fraction	marker_tissue_detection_fraction	matrix_present	median_genes_tissue	median_umi_tissue	mregDC_strict_gene_coverage_fraction	mregDC_strict_genes_detected_at_1pct	mregDC_strict_genes_detected_in_tissue	mregDC_strict_genes_in_features	n_barcodes	n_coordinate_barcode_overlap	n_coordinate_rows	n_genes	n_requested_markers_detected_in_tissue	n_requested_markers_in_features	n_tissue_spots	nested_sample	path response	program_scoreability_candidate	q10_genes_tissue	q10_umi_tissue	q90_genes_tissue	q90_umi_tissue	sample type	sample_type_norm	spatial_enrichment_present	status	technical_candidate	tissue	tissue subtype	tissue_class	tissue_fraction	title	treatment arm	tumor_program_scoreability_candidate	tumor_replication_candidate	zero_umi_tissue_fraction
1.0	5	5	5	1.0	6	7	7	1.0	3	3	3	1.0	8	9	9	99	72	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514529	1	0.8747931605074463	1586	0.1891891891891892	0.12630998345284059	0.1141753998896856	0.02978488692774407	0.138996138996139	0.3524544953116382	0.10369553226696084	0.1075565361279647	0.07611693325979041	0.15388858246001103	0.13072255929398788	0.012134583563154992	0.03143960286817429	0.07115278543849972	0.2774407060121346	0.06508549365692223	0.07115278543849972	0.00441257584114727	0.03750689464975179	0.29509100937672367	0.26806398234969664	0.4031991174848318	0.011031439602868174	0.19801434087148373	0.015444015444015444	0.1897407611693326	0.09376723662437948	0.00827357970215113	0.02040816326530612	0.2675124103695532	1.0	1.0	1	457.0	531.0	1.0	6	6	6	1813	1813	4992	17943	30	30	1813	GSM8514529_J1568_C1	R	1	224.20000000000002	245.0	1885.8	2643.2	FFPE	ffpe	1	complete	1	pancreas	lymph node	lymph_node	1.0	pdac1	A	0	0	0.0
1.0	5	5	5	1.0	5	7	7	1.0	3	3	3	1.0	9	9	9	106	59	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514530	1	1.0	2553	0.45436741088915	0.3732863298080689	0.07128867998433217	0.009792401096748922	0.06345475910693302	0.3176654915785351	0.1410105757931845	0.13474343909126518	0.10810810810810811	0.10419114766940854	0.06737171954563259	0.033685859772816296	0.10654132393262829	0.07168037602820211	0.763023893458676	0.14688601645123384	0.015667841754798278	0.009792401096748922	0.25773599686643167	0.5624755189972581	0.5754014884449667	0.7896592244418331	0.04308656482569526	0.2773207990599295	0.05052878965922444	0.11084998041519781	0.1320015667841755	0.030943987465726595	0.21151586368977673	0.63572267920094	1.0	1.0	1	1830.0	2727.0	1.0	6	6	6	2553	2553	4992	17943	30	30	2553	GSM8514530_J1568_C10	R	1	580.2	674.2	3491.0	6728.4000000000015	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac2	A	1	1	0.0
1.0	2	5	5	0.8571428571428571	5	6	7	1.0	3	3	3	1.0	4	9	9	116	67	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514531	1	0.9989733059548255	2919	0.0944558521560575	0.25770020533880905	0.01574264202600958	0.0027378507871321013	0.0027378507871321013	0.14407939767282682	0.06091718001368925	0.021560574948665298	0.006844626967830253	0.0027378507871321013	0.02087611225188227	0.00034223134839151266	0.0013689253935660506	0.02840520191649555	0.26899383983572894	0.020191649555099247	0.0034223134839151265	0.0	0.09924709103353867	0.06023271731690623	0.037987679671457907	0.23100616016427106	0.00034223134839151266	0.0037645448323066393	0.003080082135523614	0.001026694045174538	0.12628336755646818	0.0006844626967830253	0.035249828884325804	0.6084873374401095	1.0	0.9666666666666667	1	591.5	1027.0	1.0	3	6	6	2922	2922	4992	17943	29	30	2922	GSM8514531_J1568_C11	R	0	360.0	555.0	902.0	1915.9	FFPE	ffpe	1	complete	1	pancreas	lymph node	lymph_node	1.0	pdac3	C	0	0	0.0
1.0	5	5	5	1.0	6	7	7	1.0	3	3	3	1.0	8	9	9	113	62	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514532	1	0.9977037887485649	2607	0.06582472254114045	0.1251435132032147	0.028319938767699962	0.010332950631458095	0.04554152315346345	0.06735553004209721	0.03444316877152698	0.027937236892460773	0.02870264064293915	0.026789131266743208	0.03788748564867968	0.02564102564102564	0.02066590126291619	0.011863758132414848	0.14313050133945657	0.05128205128205128	0.011098354381936472	0.008036739380022962	0.006505931879066207	0.22388059701492538	0.1549942594718714	0.2751626482969767	0.009567546880979716	0.11442786069651742	0.012246460007654038	0.02602372751626483	0.016456180635285114	0.012246460007654038	0.013777267508610792	0.07883658629927287	1.0	1.0	1	372.0	410.0	1.0	5	6	6	2613	2613	4992	17943	30	30	2613	GSM8514532_J1568_C12	R	1	193.0	204.2	610.0	705.0	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac4	C	1	1	0.0
1.0	3	5	5	1.0	5	7	7	1.0	3	3	3	1.0	5	9	9	121	68	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514533	1	0.9996923076923077	3249	0.23723076923076922	0.10430769230769231	0.01353846153846154	0.006461538461538461	0.008	0.12492307692307693	0.043076923076923075	0.044307692307692305	0.06707692307692308	0.01323076923076923	0.016923076923076923	0.009230769230769232	0.015692307692307693	0.05969230769230769	0.3563076923076923	0.008307692307692308	0.002769230769230769	0.009538461538461539	0.06153846153846154	0.3356923076923077	0.34276923076923077	0.4553846153846154	0.009846153846153846	0.05692307692307692	0.017538461538461537	0.007076923076923077	0.05261538461538461	0.0043076923076923075	0.14215384615384616	0.5476923076923077	1.0	1.0	1	924.0	1174.5	1.0	5	6	6	3250	3250	4992	17943	30	30	3250	GSM8514533_J1568_C2	R	1	400.80000000000007	463.90000000000003	2399.4999999999995	4464.799999999999	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac5	A	1	1	0.0
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	126	66	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514534	1	0.9965858654831	2919	0.5479685899624446	0.7118470467736429	0.33185387504267666	0.02799590303857972	0.21679754182314784	0.7681802663024924	0.5903038579720041	0.5213383407306248	0.5944008193922841	0.5076818026630249	0.20348241720723798	0.2608398770911574	0.37692045066575625	0.46432229429839533	0.8115397746671219	0.48548992830317517	0.09354728576305907	0.022874701263229772	0.18504609081597814	0.8709457152611813	0.8880163878456812	0.9262546944349608	0.27074086719016727	0.7190167292591328	0.21577330146807785	0.3690679412768863	0.5872311369067942	0.13349265961078866	0.26732673267326734	0.8490952543530215	1.0	1.0	1	3074.0	6083.0	1.0	6	6	6	2929	2929	4992	17943	30	30	2929	GSM8514534_J1568_C3	NA	1	475.40000000000003	548.8	5439.200000000001	16535.600000000002	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac6	A	1	1	0.0
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	128	78	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514535	1	1.0	4992	0.23838141025641027	0.2904647435897436	0.07311698717948718	0.019230769230769232	0.07672275641025642	0.38000801282051283	0.19571314102564102	0.16626602564102563	0.19751602564102563	0.16045673076923078	0.08012820512820513	0.07051282051282051	0.1252003205128205	0.08974358974358974	0.7271634615384616	0.20232371794871795	0.023036858974358976	0.026642628205128204	0.11638621794871795	0.6306089743589743	0.7009214743589743	0.7956730769230769	0.036258012820512824	0.2798477564102564	0.06470352564102565	0.10797275641025642	0.21975160256410256	0.043068910256410256	0.18389423076923078	0.6392227564102564	1.0	1.0	1	1687.0	2462.0	1.0	6	6	6	4992	4992	4992	17943	30	30	4992	GSM8514535_J1568_C4	R	1	269.1	305.0	3424.5000000000027	6183.700000000002	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac7	C	1	1	0.00020032051282051281
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	123	70	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514536	1	0.9996987951807229	3319	0.6316265060240964	0.555421686746988	0.16987951807228915	0.07740963855421687	0.08885542168674698	0.5204819277108433	0.3686746987951807	0.34427710843373494	0.3894578313253012	0.07680722891566265	0.0858433734939759	0.0746987951807229	0.18825301204819278	0.3093373493975904	0.9572289156626506	0.05421686746987952	0.023493975903614458	0.22108433734939759	0.2463855421686747	0.897289156626506	0.8954819277108433	0.9578313253012049	0.05602409638554217	0.6054216867469879	0.13704819277108435	0.05903614457831325	0.12771084337349398	0.07228915662650602	0.36716867469879516	0.9174698795180722	1.0	1.0	1	3992.0	8740.5	1.0	6	6	6	3320	3320	4992	17943	30	30	3320	GSM8514536_J1568_C5	NA	1	2056.8	3528.7000000000003	5769.1	15172.199999999999	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac8	C	1	1	0.0
1.0	4	5	5	1.0	7	7	7	1.0	3	3	3	1.0	7	9	9	124	68	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514537	1	0.9977664326738992	3127	0.4958519463943842	0.1429483088704531	0.03063178047223995	0.014677728142948309	0.04307594128908743	0.5306317804722399	0.13401403956604976	0.10721123165283983	0.3120612635609445	0.023931078493937462	0.03158902361199745	0.06253988513082323	0.19623484365028718	0.0398851308232291	0.9862795149968092	0.021378430121250798	0.0038289725590299937	0.025526483726866625	0.4645820038289726	0.8806636885768986	0.8634333120612636	0.982769623484365	0.018825781748564134	0.21282705807275049	0.08200382897255903	0.007657945118059987	0.0622208040842374	0.009572431397574984	0.6062539885130823	0.8254626675175495	1.0	1.0	1	3305.0	6599.5	1.0	6	6	6	3134	3134	4992	17943	30	30	3134	GSM8514537_J1568_C6	R	1	2149.1	3614.5	4277.1	9702.0	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac9	B	1	1	0.0
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	128	78	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514538	1	1.0	4992	0.4753605769230769	0.4701522435897436	0.0733173076923077	0.03465544871794872	0.0641025641025641	0.36278044871794873	0.2109375	0.15584935897435898	0.3010817307692308	0.09835737179487179	0.08473557692307693	0.06670673076923077	0.15985576923076922	0.1686698717948718	0.8329326923076923	0.04146634615384615	0.016025641025641024	0.0390625	0.19731570512820512	0.7616185897435898	0.735176282051282	0.8489583333333334	0.024839743589743588	0.27524038461538464	0.0907451923076923	0.05268429487179487	0.12600160256410256	0.0390625	0.3858173076923077	0.7211538461538461	1.0	1.0	1	3275.5	5643.5	1.0	6	6	6	4992	4992	4992	17943	30	30	4992	GSM8514538_J1568_C7	NA	1	439.1	495.30000000000007	5758.900000000001	14436.000000000011	FFPE	ffpe	1	complete	1	pancreas	lymph node	lymph_node	1.0	pdac10	B	0	0	0.0
