array_coordinate_block_size	seed	draw	cohort_median_patient_local_r
4	20260813	1	0.37686631561623707
4	20260813	2	0.36870927738333115
4	20260813	3	0.3745347648129767
4	20260813	4	0.37343089899818876
4	20260813	5	0.3811540199471312
4	20260813	6	0.364584510175015
4	20260813	7	0.37384458139041
4	20260813	8	0.3733241327566841
4	20260813	9	0.36040479494557937
4	20260813	10	0.37038977572461335
4	20260813	11	0.3693288023817548
4	20260813	12	0.364980591916644
4	20260813	13	0.37853676889679966
4	20260813	14	0.3770708499453699
4	20260813	15	0.3701894293984098
4	20260813	16	0.36147972292994174
4	20260813	17	0.3661050582100901
4	20260813	18	0.36729539585269716
4	20260813	19	0.3636817341329999
4	20260813	20	0.37801895178073347
4	20260813	21	0.37495472292246984
4	20260813	22	0.3631637190094916
4	20260813	23	0.3622277342889241
4	20260813	24	0.374077743542938
4	20260813	25	0.36588606730152273
4	20260813	26	0.36343651727822734
4	20260813	27	0.3761513709179742
4	20260813	28	0.3717421644744978
4	20260813	29	0.3789105408347275
4	20260813	30	0.36184521623885474
4	20260813	31	0.3861124227878383
4	20260813	32	0.36472197422549824
4	20260813	33	0.374439519897656
4	20260813	34	0.35255834504400674
4	20260813	35	0.35897304983628564
4	20260813	36	0.37004046196777984
4	20260813	37	0.3589183135317572
4	20260813	38	0.35870204919015325
4	20260813	39	0.36788861946081264
4	20260813	40	0.3598415202997954
4	20260813	41	0.37537794244724104
4	20260813	42	0.3678244131194678
4	20260813	43	0.3795058904975668
4	20260813	44	0.3728148664134223
4	20260813	45	0.36242821620726073
4	20260813	46	0.36798444908449535
4	20260813	47	0.37195768886295877
4	20260813	48	0.3782296360646823
4	20260813	49	0.3717012792468089
4	20260813	50	0.3790854332507696
4	20260813	51	0.3761655945363877
4	20260813	52	0.3642043200035817
4	20260813	53	0.3719229043602899
4	20260813	54	0.3654900028266417
4	20260813	55	0.3586513929297313
4	20260813	56	0.3770974355925234
4	20260813	57	0.36475707292959914
4	20260813	58	0.37772959617352897
4	20260813	59	0.3535415641590911
4	20260813	60	0.37586025270771506
4	20260813	61	0.37721693801527684
4	20260813	62	0.36858280030034724
4	20260813	63	0.3653328580837123
4	20260813	64	0.36808814189580935
4	20260813	65	0.3715159545779777
4	20260813	66	0.3780566554991025
4	20260813	67	0.371831341723168
4	20260813	68	0.3756616680984387
4	20260813	69	0.36052143806912323
4	20260813	70	0.3714862370186279
4	20260813	71	0.3765366807606151
4	20260813	72	0.35755356428870877
4	20260813	73	0.3734941022305266
4	20260813	74	0.3706744469466694
4	20260813	75	0.3606524496333192
4	20260813	76	0.3695127662091019
4	20260813	77	0.37648613680305376
4	20260813	78	0.3714731303904627
4	20260813	79	0.3855269653422847
4	20260813	80	0.3677868090516584
4	20260813	81	0.37324296619069486
4	20260813	82	0.36428173182168416
4	20260813	83	0.3596731072977817
4	20260813	84	0.365312247907396
4	20260813	85	0.3641491905077229
4	20260813	86	0.3847089622513105
4	20260813	87	0.3633791633925679
4	20260813	88	0.36924300387112596
4	20260813	89	0.3643918792948893
4	20260813	90	0.36561908370522206
4	20260813	91	0.3778926467584825
4	20260813	92	0.364530677073518
4	20260813	93	0.36799905104007946
4	20260813	94	0.36667582105910534
4	20260813	95	0.3664394466436113
4	20260813	96	0.3688998503974421
4	20260813	97	0.37286344188835197
4	20260813	98	0.36826252734676185
4	20260813	99	0.37108651050601105
4	20260813	100	0.35951587052658596
4	20260813	101	0.37349949665607524
4	20260813	102	0.3631308816030479
4	20260813	103	0.3662785382339021
4	20260813	104	0.37781187917374204
4	20260813	105	0.37437065413176995
4	20260813	106	0.35896551321460757
4	20260813	107	0.37051177714945593
4	20260813	108	0.36290119910611973
4	20260813	109	0.36150722625321985
4	20260813	110	0.3588924119790978
4	20260813	111	0.3698109948600475
4	20260813	112	0.36517398741926427
4	20260813	113	0.37165986101775755
4	20260813	114	0.3710706324693156
4	20260813	115	0.3891256921295534
4	20260813	116	0.37267663791771755
4	20260813	117	0.36339386603821994
4	20260813	118	0.3608629858756779
4	20260813	119	0.3652920796996748
4	20260813	120	0.36767893306213817
4	20260813	121	0.38248779880829853
4	20260813	122	0.3624092377659467
4	20260813	123	0.378244906440378
4	20260813	124	0.3710660032468054
4	20260813	125	0.3697828610530389
4	20260813	126	0.3777730759298177
4	20260813	127	0.3641248706093082
4	20260813	128	0.3736456913828252
4	20260813	129	0.375344430390164
4	20260813	130	0.37673769616827424
4	20260813	131	0.3840902893787693
4	20260813	132	0.35492774022402773
4	20260813	133	0.36832301350254126
4	20260813	134	0.3777454825605927
4	20260813	135	0.37959210436848445
4	20260813	136	0.35598739119449907
4	20260813	137	0.3787261085215423
4	20260813	138	0.36713205715465147
4	20260813	139	0.37530350546394387
4	20260813	140	0.3634078908545799
4	20260813	141	0.3667132937184412
4	20260813	142	0.377088969931666
4	20260813	143	0.3682109635516928
4	20260813	144	0.36510519619247617
4	20260813	145	0.3579306690252591
4	20260813	146	0.36216607573729986
4	20260813	147	0.3652951708128369
4	20260813	148	0.3637641860400247
