cohort	sample	unit	k	mregDC_residualization	mask_definition	mask_spots	mask_fraction	local_r
GSE278687	GSM8552940_PA01	PA01	4	without_DC_core_adjustment	whole_tissue	4351	1.0	0.42002019747493835
GSE278687	GSM8552940_PA01	PA01	4	without_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.539544804499509
GSE278687	GSM8552940_PA01	PA01	4	without_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.5222080159122673
GSE278687	GSM8552940_PA01	PA01	4	without_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.6063399572145763
GSE278687	GSM8552940_PA01	PA01	4	with_DC_core_adjustment	whole_tissue	4351	1.0	0.3530247876161123
GSE278687	GSM8552940_PA01	PA01	4	with_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.4944715314475374
GSE278687	GSM8552940_PA01	PA01	4	with_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.47592675549387137
GSE278687	GSM8552940_PA01	PA01	4	with_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.5657510915045605
GSE278687	GSM8552940_PA01	PA01	6	without_DC_core_adjustment	whole_tissue	4351	1.0	0.48432959523467384
GSE278687	GSM8552940_PA01	PA01	6	without_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.6027154690022769
GSE278687	GSM8552940_PA01	PA01	6	without_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.583011868398584
GSE278687	GSM8552940_PA01	PA01	6	without_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.6757472583052149
GSE278687	GSM8552940_PA01	PA01	6	with_DC_core_adjustment	whole_tissue	4351	1.0	0.4153306654220839
GSE278687	GSM8552940_PA01	PA01	6	with_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.5591349475770514
GSE278687	GSM8552940_PA01	PA01	6	with_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.5371701860408028
GSE278687	GSM8552940_PA01	PA01	6	with_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.6382332328589362
GSE278687	GSM8552940_PA01	PA01	12	without_DC_core_adjustment	whole_tissue	4351	1.0	0.5926663499522118
GSE278687	GSM8552940_PA01	PA01	12	without_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.698630288249092
GSE278687	GSM8552940_PA01	PA01	12	without_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.6798816141311895
GSE278687	GSM8552940_PA01	PA01	12	without_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.7611876158170976
GSE278687	GSM8552940_PA01	PA01	12	with_DC_core_adjustment	whole_tissue	4351	1.0	0.5202313334185371
GSE278687	GSM8552940_PA01	PA01	12	with_DC_core_adjustment	DC_core_above_median	2122	0.48770397609744887	0.6554240880335873
GSE278687	GSM8552940_PA01	PA01	12	with_DC_core_adjustment	DC_core_above_mean	2456	0.5644679384049643	0.6346367729094925
GSE278687	GSM8552940_PA01	PA01	12	with_DC_core_adjustment	DC_core_above_q75	1081	0.24844863249827626	0.7234686579195074
GSE278687	GSM8552941_PA02	PA02	4	without_DC_core_adjustment	whole_tissue	1389	1.0	0.2686806184672696
GSE278687	GSM8552941_PA02	PA02	4	without_DC_core_adjustment	DC_core_above_median	668	0.48092152627789775	0.1501452732030514
GSE278687	GSM8552941_PA02	PA02	4	without_DC_core_adjustment	DC_core_above_mean	816	0.5874730021598272	0.14435061845271235
GSE278687	GSM8552941_PA02	PA02	4	without_DC_core_adjustment	DC_core_above_q75	334	0.24046076313894887	0.15236751143382526
GSE278687	GSM8552941_PA02	PA02	4	with_DC_core_adjustment	whole_tissue	1389	1.0	0.20173377868701053
GSE278687	GSM8552941_PA02	PA02	4	with_DC_core_adjustment	DC_core_above_median	668	0.48092152627789775	0.12701284289559417
GSE278687	GSM8552941_PA02	PA02	4	with_DC_core_adjustment	DC_core_above_mean	816	0.5874730021598272	0.11554596029282718
GSE278687	GSM8552941_PA02	PA02	4	with_DC_core_adjustment	DC_core_above_q75	334	0.24046076313894887	0.1314106251728309
