cohort	program	n_samples	median_gene_coverage	median_spot_nonzero_fraction	median_score_zero_fraction
GSE277116	DC_core	18	1.0	0.9567379190482164	0.0432620809517837
GSE277116	mregDC_like	18	1.0	0.4615562642967635	0.5384437357032366
GSE277116	Tfh_like	18	1.0	0.47140961647817026	0.5285903835218297
GSE277116	broad_T_nonoverlap	18	1.0	0.524712870222716	0.47528712977728405
GSE277116	non_Tfh_CD4_nonoverlap	18	1.0	0.263543762610998	0.736456237389002
GSE277116	Treg_nonoverlap	18	1.0	0.1561480293429178	0.8438519706570822
GSE277116	exhausted_CD8_nonoverlap	18	1.0	0.25559961608149073	0.7444003839185093
GSE277116	cDC_nonoverlap	18	1.0	0.0858451720583182	0.9141548279416818
GSE277116	macrophage_nonoverlap	18	1.0	0.8290080815556359	0.1709919184443641
GSE278687	DC_core	21	0.5714285714285714	0.9824277456647399	0.017572254335260117
GSE278687	mregDC_like	21	1.0	0.7232762609902823	0.27672373900971775
GSE278687	Tfh_like	21	1.0	0.8600401606425703	0.13995983935742973
GSE278687	broad_T_nonoverlap	21	1.0	0.8243048403707518	0.1756951596292482
GSE278687	non_Tfh_CD4_nonoverlap	21	1.0	0.6524984449512752	0.3475015550487249
GSE278687	Treg_nonoverlap	21	1.0	0.4204072188801481	0.5795927811198519
GSE278687	exhausted_CD8_nonoverlap	21	0.8333333333333334	0.7766950031100974	0.22330499688990255
GSE278687	cDC_nonoverlap	21	1.0	0.3508554937126366	0.6491445062873634
GSE278687	macrophage_nonoverlap	21	1.0	0.9824778396206968	0.017522160379303237
