cohort	unit	effect	mregDC_nonzero_fraction	Tfh_nonzero_fraction	aggregation
GSE278687	PA01	0.5371701860408028	0.9126637554585153	0.959549528843944	patient median across sections for scoreability and effect
GSE278687	PA02	0.13829926130039497	0.5298776097912167	0.6681065514758819	patient median across sections for scoreability and effect
GSE278687	PA03	-0.018329552175999346	0.20703210307927494	0.048263813059620006	patient median across sections for scoreability and effect
GSE278687	PA04	0.1003840267823023	0.7527696645328137	0.6939413979620641	patient median across sections for scoreability and effect
GSE278687	PA05	0.4697929079974885	0.8974519444729725	0.9374657663209065	patient median across sections for scoreability and effect
GSE278687	PA06	0.35717097092452865	0.9697674418604652	0.9852713178294573	patient median across sections for scoreability and effect
GSE278687	PA08	0.008309910373205854	0.22973477773627193	0.21255136346656706	patient median across sections for scoreability and effect
GSE278687	PA11	0.35251513026415443	0.6806323172661112	0.6531323612136554	patient median across sections for scoreability and effect
GSE278687	PA12	0.6530977753464938	0.647167868177137	0.8543769309989702	patient median across sections for scoreability and effect
GSE278687	PA21	0.36841659146225253	0.8621965317919075	0.9371098265895954	patient median across sections for scoreability and effect
GSE278687	PA22	0.5748146659588018	0.7232762609902823	0.9268857010643221	patient median across sections for scoreability and effect
GSE278687	PA24	0.4682380950315235	0.5232929164007658	0.6504998936396511	patient median across sections for scoreability and effect
GSE278687	PA29	0.4781411813083204	0.7347756410256411	0.8313301282051282	patient median across sections for scoreability and effect
GSE278687	PA40	0.3098014452941048	0.6128633271490415	0.7730364873222016	patient median across sections for scoreability and effect
GSE278687	PA47	0.49527827218234743	0.5436191425722832	0.678963110667996	patient median across sections for scoreability and effect
GSE278687	PA72	0.31346844355574055	0.6369477911646586	0.8600401606425703	patient median across sections for scoreability and effect
GSE278687	PA85	0.5381761391102942	0.7333609786439975	0.8890731909599834	patient median across sections for scoreability and effect
GSE278687	PA98	0.61064811676202	0.7938701923076923	0.9002403846153846	patient median across sections for scoreability and effect
GSE277116	GSM8514530	0.2699440571783039	0.6204465334900118	0.7207207207207207	individual technical-replication package
GSE277116	GSM8514532	0.18099258137144988	0.20015308075009566	0.2969766551856104	individual technical-replication package
GSE277116	GSM8514533	0.30970765932892186	0.20123076923076924	0.3812307692307692	individual technical-replication package
GSE277116	GSM8514534	0.4199530786558533	0.8292932741550018	0.890406282007511	individual technical-replication package
GSE277116	GSM8514535	0.4314539898927193	0.49198717948717946	0.6384214743589743	individual technical-replication package
GSE277116	GSM8514536	0.5168811174213416	0.7397590361445783	0.9012048192771084	individual technical-replication package
GSE277116	GSM8514537	0.17390476892753304	0.681238034460753	0.7763241863433312	individual technical-replication package
GSE277116	GSM8514539	0.305013652295327	0.7595899470899471	0.896494708994709	individual technical-replication package
GSE277116	GSM8514543	0.6186050420261737	0.3421450151057402	0.3240181268882175	individual technical-replication package
GSE277116	GSM8514544	0.5994190460438923	0.21012360211889347	0.21954090641553856	individual technical-replication package
GSE277116	GSM8514546	0.38371117595835164	0.6963969285292381	0.5540460720614294	individual technical-replication package
GSE277116	GSM8514547	0.4829276475671366	0.48139255702280914	0.45778311324529813	individual technical-replication package
GSE277116	GSM8514548	0.44914598262231564	0.1831726555652936	0.15016067776803974	individual technical-replication package
GSE277116	GSM8514550	0.5091952747484702	0.11934156378600823	0.11454046639231824	individual technical-replication package
GSE277116	GSM8514551	0.010216999494317643	0.29868819374369326	0.3773965691220989	individual technical-replication package
GSE277116	GSM8514552	0.24437518657000915	0.41847265221878227	0.4850361197110423	individual technical-replication package
GSE277116	GSM8514553	0.4073138539341038	0.7979310344827586	0.8462068965517241	individual technical-replication package
GSE277116	GSM8514555	0.4574517036100717	0.44171997157071785	0.31058990760483296	individual technical-replication package
