draw	global_moran_section_median_abs_delta	mask_moran_section_median_abs_delta
1	2.0336745740541506e-05	0.04432389430467802
2	8.223944255912954e-06	0.03890157831234243
3	9.067043054566612e-06	0.026268030414670195
4	1.7455944188126543e-05	0.02134213717985838
5	1.1109053287320335e-05	0.035126265278052
6	1.6168930865124997e-05	0.026740444469510863
7	2.1014058048773876e-05	0.030758093226179044
8	1.7559971854659573e-05	0.023728362197137302
9	1.292100020088005e-05	0.031988371966561374
10	1.5429295545829093e-05	0.022172822012011404
11	1.601460003924915e-05	0.02752009387935889
12	2.1326630320912116e-05	0.029524285060792646
13	2.1659325579789952e-05	0.02017869109532299
14	1.660258910084894e-05	0.02842699562561359
15	2.332061498099003e-05	0.027795024049504714
16	1.7415556719420355e-05	0.01965960389861438
17	1.814089150982412e-05	0.029224777343750938
18	2.0314358486678286e-05	0.024550976499795638
19	1.6357742045381568e-05	0.025678604192035402
20	2.356899061517915e-05	0.029466621030520397
21	1.8137020627791677e-05	0.028879490686941865
22	1.6257165686740793e-05	0.02776304211994452
23	1.5368853416686257e-05	0.026465401778794806
24	1.3865946124250184e-05	0.025711486452446614
25	1.2314494604283993e-05	0.02833566612351093
26	1.1042429493048067e-05	0.036849982502217465
27	1.471576479313702e-05	0.02320569713525282
28	1.570258030337418e-05	0.026648954656288484
29	1.3364789215680739e-05	0.028292571297179
30	2.2951753369207517e-05	0.02374865996059077
31	1.7718443958619767e-05	0.024506823356217667
32	1.434133881066113e-05	0.01867023285421146
33	1.597104879426381e-05	0.02665781112824734
34	2.124343533498746e-05	0.022609205627412195
35	1.4681909077163269e-05	0.028173606443190783
36	1.3653602191507352e-05	0.020690981862794156
37	1.3918495211512338e-05	0.01937011022350325
38	1.5785328311479496e-05	0.03212916031151579
39	1.8807710481858267e-05	0.026436166122797394
40	1.174646641299848e-05	0.025609083413576834
41	1.535841953000973e-05	0.02591008127331539
42	1.724272046539372e-05	0.021174088533934474
43	1.6831272290657173e-05	0.033455590260807216
44	1.8631645389982632e-05	0.03258010972828127
45	1.5113761532858233e-05	0.025463144731923733
46	1.6285639403118557e-05	0.036590905061841685
47	1.5906049592786034e-05	0.03142366598864618
48	1.5453941547001297e-05	0.029520100451936218
49	1.3929427668063488e-05	0.03959447008932547
50	1.682892007975889e-05	0.02911093967896337
51	1.3060595878709724e-05	0.03744723759228521
52	1.0812705797693528e-05	0.030151475993391574
53	1.175785636056692e-05	0.026685293234989596
54	1.068360273250718e-05	0.03160261499766191
55	1.4893680457198598e-05	0.0283175492745353
56	1.974636196280452e-05	0.0210846736183532
57	1.7022359338640658e-05	0.034412382652012255
58	1.946486804091027e-05	0.019860375092190893
59	1.76331831577229e-05	0.0257359986814256
60	1.7797629036795694e-05	0.031315967915127384
61	1.2573663126722034e-05	0.025746833649926144
62	1.4981414242532486e-05	0.022921546964615458
63	2.0704231582610588e-05	0.028551013145133836
64	1.872396540034474e-05	0.025716633522520155
65	1.7994950018800082e-05	0.028516442913601496
66	1.7074781011629236e-05	0.022148457851104884
67	1.8506523366011718e-05	0.04711405647824869
68	1.981534469785301e-05	0.027620597742084828
69	1.5077063552797199e-05	0.03438481182306183
70	1.1933463115475218e-05	0.016201354105375668
71	1.8097373248364412e-05	0.028250811192553304
72	1.1009185683323944e-05	0.026741588526665118
73	9.238714573978069e-06	0.024273474484931043
74	1.7313816255415393e-05	0.026537365975634213
75	1.889499242823528e-05	0.03318710516465789
76	1.4984288370697985e-05	0.03403604663933349
77	1.8971940313763924e-05	0.033368481555925415
78	1.6294606922467175e-05	0.02107859013876044
79	1.5081490116419793e-05	0.02665247534344581
80	2.0682975593204478e-05	0.023969550139605306
81	1.7686698686753682e-05	0.021135900297645855
82	1.8018925179434653e-05	0.023724821710475796
83	1.5351945901749542e-05	0.03162386095853258
84	1.6973988142959806e-05	0.023475389723337414
85	2.0673249557387474e-05	0.021429465050123588
86	1.4325816586478052e-05	0.030090422725041137
87	8.24562783343502e-06	0.029852189965355692
88	2.4024083012622044e-05	0.016943310479496113
89	2.0526445490332e-05	0.02788209008013822
90	1.068306768518476e-05	0.02817884475211476
91	1.4109652710037925e-05	0.029140135783831927
92	2.1402916585755438e-05	0.0230697737458066
93	1.6791231096057596e-05	0.02476232265013404
94	1.7730751640309544e-05	0.036905250167025366
95	1.6713844904181138e-05	0.02829843251061341
96	1.52353755884585e-05	0.024166255824890848
97	1.2020199979734768e-05	0.028091242074826883
98	1.517018714631245e-05	0.020989084994695192
99	8.683415834111717e-06	0.021388495569967955
100	1.5232809718043923e-05	0.033010396620893945
101	1.4715714275224251e-05	0.02592132879469159
102	1.9579624589489975e-05	0.03290550724129341
103	1.4323852372661282e-05	0.028502775801114814
104	1.2282633040518187e-05	0.02613039444536083
105	1.0796055703657381e-05	0.024871678849301027
106	1.2891821674279949e-05	0.02998558038873133
107	1.7395510633433017e-05	0.025447863047508054
108	1.3859877357344508e-05	0.02458586445333908
109	1.7277060623976763e-05	0.024024993048643015
110	1.4185960365040856e-05	0.02753535635447901
111	1.7989644230283208e-05	0.030217588704094887
112	1.0653899642311393e-05	0.035334741010224456
113	1.6206994322948143e-05	0.025490156159068536
114	2.0805995184468296e-05	0.030406512696177876
115	1.2294443000961802e-05	0.03802077007302529
116	2.1971743027798113e-05	0.023521366202513567
117	1.9509185054132627e-05	0.028716536405767323
118	1.7303150890740637e-05	0.02249050517823606
119	1.559047973580252e-05	0.031304206253428266
120	1.2501905147621617e-05	0.0330188616243641
121	1.7411330781993972e-05	0.02319159758905471
122	1.9031314732874394e-05	0.022453091480172275
123	1.683306304621837e-05	0.02641910843380355
124	2.0513548721366737e-05	0.0238100753279234
125	9.97770707265866e-06	0.02365727970478186
126	1.6465843692728757e-05	0.03385244966856769
127	1.0997875559393654e-05	0.029812686513425335
128	1.683458218029732e-05	0.021430025512309988
129	1.6943617723922527e-05	0.02516552249401377
130	1.8220222460840763e-05	0.01593460115713946
131	1.8910028249628785e-05	0.02444033533770715
132	1.2031702172524139e-05	0.032232842096842115
133	1.9154048002316924e-05	0.02729947669981001
134	1.3212182497397695e-05	0.022921594810952836
135	1.7281708275421886e-05	0.025658558430772554
136	1.843266343896227e-05	0.029757493897027133
137	1.839696130722865e-05	0.0356941852328289
138	2.177584631496421e-05	0.029050251516004173
139	1.7638357302873428e-05	0.028673942101243653
140	1.9751324151918992e-05	0.03070843835789963
141	1.7754997513871884e-05	0.023697619246485724
142	1.4990130268090901e-05	0.03132039184330018
143	1.7944693327512362e-05	0.02675320116699783
144	1.4763922130921203e-05	0.029314518225037497
145	1.9067928466561662e-05	0.03507680137286158
146	1.6893389079232837e-05	0.03919251882852636
147	9.718723841905391e-06	0.02624194851136632
148	1.62081268282252e-05	0.02240406744669231
149	1.597631753734452e-05	0.039109055058021924
150	1.3065197375521781e-05	0.027556517265702157
151	1.633350063382638e-05	0.026592228552129255
152	1.4971396879358279e-05	0.026033671872723572
153	1.8994031951963253e-05	0.022083653933275743
154	1.7809460792755222e-05	0.02820998138491542
155	1.9098473377263114e-05	0.030177065102405535
156	1.5827356504162504e-05	0.03519918898306333
157	1.9738517089924745e-05	0.016846541733858057
158	1.4515123360196724e-05	0.02224612968591587
159	1.3191261902995022e-05	0.03679494046426537
160	2.8273585728315342e-05	0.032989699032639694
161	1.8351569613307694e-05	0.03552756213540348
162	1.392645126255948e-05	0.024357055754517725
163	1.4675685311521525e-05	0.0238687707477261
164	1.5600591959735732e-05	0.018656173663641404
165	1.0058075248869924e-05	0.024452519460233593
166	1.895588520019892e-05	0.0182426881673855
167	1.3199070980868949e-05	0.03003402265686889
168	1.5410970975547784e-05	0.02518035369182178
169	2.1372459767324443e-05	0.029233413912070672
170	1.4898006620052764e-05	0.03271338565680491
171	1.8993041526249588e-05	0.02474952478584723
172	1.3153771216991433e-05	0.02318861941359882
173	1.528379954156972e-05	0.028333771779833414
174	1.548243432893115e-05	0.02037200466759164
175	8.035482218456125e-06	0.03163031074304512
176	2.1454436418488765e-05	0.03753210267799143
177	2.2517759303293527e-05	0.024111626885706228
178	1.3556167028940663e-05	0.03577860413554272
179	1.1123447720855217e-05	0.02897154936377345
180	1.2812239575131501e-05	0.021833929720911374
181	1.6743065696038506e-05	0.029604923382071036
182	1.829333288588808e-05	0.032177406574286624
183	1.2476743777015652e-05	0.0414148966109615
184	1.2537347372144902e-05	0.024825030843967977
185	1.5801468118581408e-05	0.014213677242748874
186	1.9827959977403165e-05	0.022908065467353723
187	2.203179635644481e-05	0.035509885340342495
188	1.5039186098148721e-05	0.037117537906613846
189	1.2379603782978338e-05	0.028274090609071753
190	1.8330900090721136e-05	0.02555713183169212
