draw	global_moran_section_median_abs_delta	mask_moran_section_median_abs_delta
1	2.2960688664031004e-05	0.040312826801352036
2	2.022708284121766e-05	0.038686146749112305
3	2.1570871295353844e-05	0.040052091818517224
4	2.4490555822848092e-05	0.03447159395817631
5	2.8897407359951277e-05	0.023520678451337762
6	1.555980914767774e-05	0.03825220477289809
7	1.2177701310608913e-05	0.03945175015873875
8	2.071153034538531e-05	0.042101032835792196
9	1.9220666749357462e-05	0.03997964323615838
10	1.4829017725648264e-05	0.03453728825941199
11	3.2039658764970724e-05	0.028945659592686662
12	2.229653215299332e-05	0.02809496074060569
13	1.9954871540606156e-05	0.0494374939678002
14	1.1528745979649813e-05	0.03927788291491127
15	2.7929018451583465e-05	0.04275142146595125
16	2.691107100638579e-05	0.038389611011985236
17	3.4618430750088525e-05	0.04029533122442332
18	1.6370279051602932e-05	0.032216533142868896
19	2.6141759285738808e-05	0.03207777082843152
20	2.0438029401770308e-05	0.031812799332571806
21	2.4576062753384198e-05	0.03958644181281297
22	1.338688924147624e-05	0.024439443163309066
23	2.6220178934846516e-05	0.04196597170622496
24	1.8827939961496565e-05	0.028501342755437878
25	1.4282537180693167e-05	0.03555620471196319
26	1.906593067027562e-05	0.035411443455614505
27	2.5151047573696017e-05	0.03783135082430367
28	1.6104846177820813e-05	0.027921447805624954
29	2.088776127991132e-05	0.046421392647698456
30	2.8181284271316942e-05	0.028434813996426056
31	2.358353726150675e-05	0.03597554646810247
32	1.844914386334162e-05	0.03305216207452266
33	2.1597565239506178e-05	0.03276304007793468
34	1.9702052475423226e-05	0.03542926253992762
35	2.9115589759001748e-05	0.03619891435890249
36	2.6577183976028707e-05	0.03155378599540054
37	2.5027265690868994e-05	0.03910147349061863
38	1.969703940696288e-05	0.037264879244340854
39	2.0276620220777142e-05	0.02563756343976381
40	1.3915783582008068e-05	0.035361770455876684
41	1.9429009324500868e-05	0.03862099912453504
42	2.048486195938004e-05	0.034836952404095456
43	1.824650289919405e-05	0.03850123996022353
44	2.478293979604751e-05	0.02464420638776342
45	2.3864424150310537e-05	0.03090704223124008
46	1.2494598990886452e-05	0.037325387278985156
47	1.8042753087296748e-05	0.030822682166411347
48	1.896057292839065e-05	0.03660979317035348
49	2.7323243589283397e-05	0.0377492172482537
50	2.552593755750232e-05	0.03449758930962425
51	1.976201250597498e-05	0.04089677118940485
52	2.8257514026658326e-05	0.033654633172695764
53	2.7203646034923423e-05	0.03502735011020541
54	2.013592382019147e-05	0.04353910538370906
55	2.9827485416383803e-05	0.028826105938238825
56	2.291229470349765e-05	0.03516415126395289
57	2.4975112684122447e-05	0.029149481393176968
58	1.1293830453312781e-05	0.03504075296304332
59	1.6231640848352047e-05	0.03286363462757616
60	1.3610822460513594e-05	0.032798636107898266
61	1.719044317091689e-05	0.03628382133581379
62	1.6525876537901163e-05	0.027468170506171743
63	1.569604739876107e-05	0.03111563028534764
64	2.5946374461282944e-05	0.03029651222793492
65	2.148179964805985e-05	0.0393680140787951
66	1.5912628222952696e-05	0.04465640421479723
67	2.4565393982350914e-05	0.027602204059107432
68	1.9853796873997576e-05	0.03253211958417397
69	2.487264815891066e-05	0.03519328698759855
70	1.7921550657329366e-05	0.03895826643029354
71	2.3344807997482953e-05	0.03327420696290939
72	2.885245771880318e-05	0.039030476194632124
73	2.365602867371308e-05	0.026221121551860793
74	2.1148514367103077e-05	0.04907857120560036
75	1.6714112725330077e-05	0.0375681220078965
76	3.240563978465505e-05	0.03011433681121807
77	2.030680812875607e-05	0.0337276481954782
78	2.1354669465872833e-05	0.03907279124783637
79	1.5736881567141037e-05	0.046383483247577906
80	2.2818616110087397e-05	0.034747274182521104
81	1.734513940859772e-05	0.022277259234882024
82	2.320843512901294e-05	0.03473391317062141
83	2.0907613751355858e-05	0.045580778580965875
84	2.7943152483903e-05	0.038374713039957556
85	2.1516758727135876e-05	0.03138199256483645
86	2.1809599476840802e-05	0.04797755123370885
87	2.198245797666032e-05	0.03691569202270478
88	1.943587238134592e-05	0.03592203257746729
89	2.0671757835211135e-05	0.03145296070608446
90	2.062569656371971e-05	0.03833479421510712
91	1.4860995623144913e-05	0.03915313572020144
92	2.963068233149957e-05	0.028839050600076827
93	2.7331019096410447e-05	0.04192994079880108
94	2.772671853878972e-05	0.031126529811248277
95	2.7021296992391086e-05	0.029530719947911233
96	2.5165749796940418e-05	0.03826031497179089
97	2.6946610430499465e-05	0.03381494363552377
98	3.0581547497104955e-05	0.033379795178821975
99	1.4693474261667783e-05	0.03601182733153041
100	1.8564799957654365e-05	0.03865144822737167
101	1.961721396875893e-05	0.03651719343940529
102	2.2317664838983342e-05	0.034691252361574235
103	3.065844007135721e-05	0.030117828798215784
104	2.1621613320976785e-05	0.017598469820128873
105	1.7717809734085765e-05	0.0348682260599143
106	1.8887139844742107e-05	0.0338377986283126
107	2.064669576634648e-05	0.02391007150177396
108	2.415392837615271e-05	0.029172232639296025
109	2.851722380498023e-05	0.037001885700289616
110	2.1559073937957307e-05	0.0265403925797639
111	1.8946769165140154e-05	0.03770437123863422
112	2.103786440560418e-05	0.03197023009600125
113	2.719048519200795e-05	0.032652439597674915
114	2.1099709632821373e-05	0.03542502155537339
115	2.495131294441566e-05	0.024919063503629824
116	2.7516977749920957e-05	0.03672167703498014
117	1.620550667996712e-05	0.03769528389642862
118	1.64868590995515e-05	0.040750982825239424
119	1.6067918981260698e-05	0.026382914797779905
120	2.4519377581466717e-05	0.02900685969017658
121	1.4421348188908834e-05	0.029154688843981286
122	2.701904450946868e-05	0.023746180945562773
123	2.7044868409278888e-05	0.025173286168400894
124	2.164330714199414e-05	0.03578503579031389
125	2.3969622190922468e-05	0.03481413365966289
126	1.954167241727256e-05	0.04087373681126913
127	2.4688636304323608e-05	0.03556117365810796
128	2.8203036763374545e-05	0.03755178575202977
129	2.2299869944786277e-05	0.031174876967474757
130	2.4035026266105985e-05	0.019020951867291525
131	1.9794804758110907e-05	0.032977571472094236
132	2.7592547764909714e-05	0.035195097107500295
133	3.1689507083598745e-05	0.03868978445981949
134	1.688327733873063e-05	0.02685266732833022
135	2.1368972808466502e-05	0.0411358862587643
136	2.5306187457579954e-05	0.032182201386453585
137	1.783256079407325e-05	0.02716553956056963
138	2.3421515955801553e-05	0.03716813702089805
139	2.1476298563673224e-05	0.032011216002935494
140	1.3075298895692464e-05	0.036578546791012356
141	2.325948380513254e-05	0.04259361760478009
142	2.2854196664562343e-05	0.0324696847139182
143	1.9297336480816885e-05	0.04344484934647448
144	1.6479470118291317e-05	0.035581958403813715
145	3.155920848151028e-05	0.04005183613758155
146	1.9589971350875146e-05	0.030781337721036583
147	1.9984539716133565e-05	0.03648786616771313
148	1.9208840334017374e-05	0.025578550010884334
149	1.9938130235930274e-05	0.03313672892650524
150	1.4262400575240641e-05	0.03209662906105429
151	2.447509667746761e-05	0.031225616898133524
152	2.0039941777821868e-05	0.03743112088588266
153	2.48531551213238e-05	0.033556224852017424
154	2.2886573509933728e-05	0.0325414079507812
155	1.7643733539129958e-05	0.04751109376479462
156	3.063268479433501e-05	0.03465864934090966
157	2.0427561885472123e-05	0.033753014810305904
158	2.6376895740087836e-05	0.037583789946453006
159	2.451520682988928e-05	0.03962625546314952
160	2.264765571179106e-05	0.03094816158925584
161	2.709777352166709e-05	0.03802387885358555
162	2.0111008854128976e-05	0.033020508225557785
163	1.662642178480722e-05	0.03200490227202313
164	2.6894107386377097e-05	0.03384383541894476
165	3.169799831043152e-05	0.02979378673407279
166	2.12771168068282e-05	0.035743229778885555
167	1.7509844500135374e-05	0.04092287984251233
168	1.737246522143243e-05	0.043704066240258625
169	2.1126245789343523e-05	0.041941037333576986
170	1.9707193192886052e-05	0.038711128187169444
171	2.1538224976302978e-05	0.02642108911225802
172	2.0182426674522636e-05	0.04105760158224592
173	8.88992941619482e-06	0.031477946135136936
174	1.8776623400829084e-05	0.030011294967538266
175	2.074044049063528e-05	0.03863456083608029
176	1.2925942073555019e-05	0.03453629150126397
177	2.1252555174822163e-05	0.03234236329662338
178	1.3772723096272532e-05	0.038706468529687836
179	1.5205402479262498e-05	0.0372627968160692
180	1.2446042219609044e-05	0.0368093772315235
181	2.5839565348129145e-05	0.029433731061336593
182	2.307540806043007e-05	0.043170231720442584
183	1.810380830853664e-05	0.03362100264652118
184	3.121936793523683e-05	0.04435909783257064
185	2.8637903900563533e-05	0.040041946765237424
186	1.3974102550023959e-05	0.04511288781448697
187	2.4982429316089405e-05	0.03901481447493276
188	2.6286869341016206e-05	0.027534944573592818
189	7.421999511869615e-06	0.023864076355907732
190	2.230083067400468e-05	0.03175346563535089
191	1.7355716772360363e-05	0.027268560386118513
192	1.5183586021372264e-05	0.02354786719897123
193	1.5298242650840788e-05	0.031182843669760235
194	2.748760577567233e-05	0.041611877312360046
195	2.2872576178056825e-05	0.03255868640936882
196	2.5446248615446088e-05	0.03136196381787383
197	1.9112198890808285e-05	0.040287011379230325
198	2.290138873001224e-05	0.03603805249281289
199	1.7793538534482956e-05	0.03818035621899929
200	2.0612809306291835e-05	0.022453762804020144
201	1.9905255384589093e-05	0.03858756854209468
202	2.6590484691446648e-05	0.038707368276240134
203	2.787554656671909e-05	0.04851449146739348
204	2.2209060610470233e-05	0.024362776032239103
205	1.9136032467476083e-05	0.032365843800128594
206	2.5423724797191127e-05	0.0323150365377049
207	1.8382617410217517e-05	0.0267201396358544
208	2.292938669506972e-05	0.037314110957535035
209	2.8825025644510505e-05	0.032144994990474296
210	2.508994334877307e-05	0.04404901625990176
211	3.68014337330802e-05	0.03345643914451127
212	2.4061158522048487e-05	0.044710969944518064
213	2.2774039328411766e-05	0.037754672650943455
214	1.7803457643628118e-05	0.034945164875193
215	1.959118220196121e-05	0.02195307216253653
216	2.168298281793324e-05	0.030109143883045475
217	1.991007763285646e-05	0.03218822193938399
218	3.002560219672601e-05	0.03477615592418007
219	1.593795114246399e-05	0.02816463632573099
220	2.48166581032494e-05	0.03236120489065966
221	2.0292090676887753e-05	0.038613853649811264
222	1.4624567196724891e-05	0.04296090860095986
