draw	mask_moran_section_median_abs_delta	global_moran_section_median_abs_delta
1	2.1192422586552295e-05	0.022896123581059316
2	1.1983764100990946e-05	0.025018102454499237
3	2.0809920327866105e-05	0.02861666030791255
4	2.1293818097773906e-05	0.027633786738648757
5	1.4386948726116677e-05	0.03738807094362313
6	2.1387853376672594e-05	0.028563175591510358
7	1.7299437443420163e-05	0.017146777632759312
8	1.4553224672595247e-05	0.026470440857622582
9	2.5357065354440766e-05	0.024445498640979838
10	2.0541293482466416e-05	0.026928846268351403
11	3.03404518397013e-05	0.03534944737404864
12	1.826449531289881e-05	0.023405572446506068
13	1.0171582601366247e-05	0.03934977532642418
14	2.43955716004024e-05	0.020599077355167812
15	1.3459948447612502e-05	0.03465750234996973
16	1.7588173671277685e-05	0.022599606547400508
17	1.6240094567368524e-05	0.020802118797019913
18	3.175270163572469e-05	0.03012640629136565
19	2.5226048283075175e-05	0.030908193016936918
20	2.182770233955661e-05	0.03332664270988274
21	2.1156064051272572e-05	0.015958062131313247
22	2.2438166777209723e-05	0.028274529248710628
23	2.6352426371559906e-05	0.022253085561503873
24	3.414302702283052e-05	0.015460422103239804
25	2.1989965226759667e-05	0.02583925383752716
26	2.2862016883548608e-05	0.02876947952597758
27	1.6698692713059543e-05	0.02687271210895178
28	1.906412943615543e-05	0.02061131735577657
29	1.6472849257626043e-05	0.02795864265177548
30	2.2350664153569788e-05	0.026659162902908148
31	2.0601327269885103e-05	0.02528665206236088
32	1.7649272232148072e-05	0.02200856093747735
33	2.2551436003465097e-05	0.03521859337945136
34	2.0049597820571974e-05	0.031058441591951858
35	2.6178036075824584e-05	0.02411291783800096
36	1.716313874396136e-05	0.024124292996358977
37	1.8990332943405464e-05	0.020472627531947684
38	2.1454678303299557e-05	0.026158448491490037
39	2.1390857259460938e-05	0.036373942751061816
40	2.1677364228436802e-05	0.02979509013425504
41	2.2100647626713266e-05	0.021093160471157273
42	1.913509777844158e-05	0.027253193567052948
43	2.3294634492854183e-05	0.03135475163738031
44	1.7263513274690112e-05	0.02179137651847758
45	1.8427477068240494e-05	0.033422072577047254
46	1.6556921993923085e-05	0.02460785010958843
47	2.03232329080566e-05	0.026116525982305308
48	2.00821406743934e-05	0.021383761052315275
49	3.6187722175354264e-05	0.020802552665228968
50	2.365735658785978e-05	0.022317260191792535
51	1.7602976978260687e-05	0.023426574435898136
52	1.735813689008464e-05	0.027373075948948375
53	2.4199232963414974e-05	0.03058627549931102
54	1.0760451371175095e-05	0.02355623927793587
55	1.8505648013429632e-05	0.032150250951000284
56	2.1509345019148085e-05	0.026199354901387584
57	3.0399817358493786e-05	0.021871146013553847
58	9.257653722968481e-06	0.02123832627547638
59	2.079742967726634e-05	0.02298657442012616
60	2.3407329024380252e-05	0.03464147749177219
61	1.5190626716919675e-05	0.021543010165538348
62	2.4173105441629983e-05	0.027865997093096916
63	1.8768807247729336e-05	0.022120545922780635
64	2.51440529979996e-05	0.02412412497611571
65	1.3761050776231465e-05	0.02612828161615744
66	2.1246086048212764e-05	0.02310904990527774
67	1.4817666358468706e-05	0.02047389252197573
68	1.9908165954641427e-05	0.02227297535629379
69	1.6970882259042565e-05	0.019213863364936398
70	1.8595756324228663e-05	0.03585895421355417
71	1.558406574998783e-05	0.02662543306264285
72	1.4403472142127116e-05	0.024952496621972214
73	1.6813712466798303e-05	0.02695362910649935
74	2.885917585240122e-05	0.024271794400940763
75	1.6498221627893328e-05	0.03277186119421733
76	2.2014086362388482e-05	0.013320199732416306
77	1.5973206118145844e-05	0.01909612607980256
78	1.8395011008288942e-05	0.030268809478494037
79	1.2451712415186e-05	0.024394907715315495
80	2.5844166538419033e-05	0.028222164410567845
81	1.5117787095245139e-05	0.02862360878608982
82	1.5947446780469055e-05	0.01561619481983225
83	1.8260218564727926e-05	0.030059071430078577
84	1.3766620502633775e-05	0.03056145207903927
85	2.2142900763817003e-05	0.031539772891781184
86	1.3707143940284994e-05	0.022979748739978226
87	1.8383221249619608e-05	0.026259921636291178
88	1.984145584139202e-05	0.02442163791742029
89	2.0489693598878256e-05	0.019157582795459295
90	1.768178379760177e-05	0.0273670409269116
91	2.177545609364194e-05	0.026617271944556382
92	1.7605438883488977e-05	0.022758104463728848
93	1.5513044374991514e-05	0.020572187383193073
94	2.0728052110716155e-05	0.0338806812810872
95	1.9259966673346174e-05	0.026972728344358127
96	2.000891755293832e-05	0.04000711032453989
97	1.5906395095098558e-05	0.02417668743022782
98	1.185173696842401e-05	0.02114756728615789
99	2.275295583362147e-05	0.02958462735072987
100	2.3856978826480857e-05	0.027263238103944654
101	1.4311346195207408e-05	0.02972802108099785
102	2.8442209474455193e-05	0.031171444884362232
103	2.3631071900245826e-05	0.021035575579036986
104	1.4799978458088225e-05	0.013463978683206958
105	2.4662966967389788e-05	0.027155230108859618
106	1.5837411821567615e-05	0.018121259351763532
107	2.388457714332104e-05	0.026525308093345037
108	2.1623828978245552e-05	0.03274951173285817
109	1.6602404569007745e-05	0.027939816178357894
110	1.6846570938242045e-05	0.030841072503216604
111	1.786438007708724e-05	0.021017277294481593
112	2.024376066536021e-05	0.03647384399009082
113	2.0366048347791876e-05	0.02443763651262061
114	1.1076864216710836e-05	0.0296771908495082
115	1.9765652379127863e-05	0.022240237439018488
116	1.8419485119942902e-05	0.027469728315949828
117	1.595792235069976e-05	0.02284601556290343
118	1.697143979005611e-05	0.030407632958288335
119	1.120941092402905e-05	0.03220143793762906
120	1.95419274077388e-05	0.029155052598710974
121	2.47456874214666e-05	0.02124823168119526
122	1.8234332544525556e-05	0.02321752237774742
123	1.8281776519225856e-05	0.02406167119978897
124	1.540016464481042e-05	0.02260646893520432
125	1.9806418144002746e-05	0.03062503054555285
126	2.146708141185366e-05	0.02567308048530409
127	2.597978957483843e-05	0.02295189564608081
128	2.203231231475561e-05	0.018096496933637646
129	2.2698100604373606e-05	0.021203828247644455
130	2.297956208747315e-05	0.021227658481593775
131	2.3692166560729255e-05	0.0269077510046076
132	1.5277394981874637e-05	0.040963565378750635
133	1.5725024676872812e-05	0.01837962159797735
134	1.1263427976131168e-05	0.032725243119959946
135	1.2754714996197902e-05	0.029004739345270134
136	1.7071823973091593e-05	0.03550647018354219
137	1.7126549072196684e-05	0.024656522063146776
138	1.557210954332422e-05	0.030533158206505012
139	2.69521687085994e-05	0.028865145732013514
140	1.519801976233165e-05	0.027762749314564687
141	1.5852596179706524e-05	0.03484740911451429
142	2.2468553373060363e-05	0.035155835271270294
143	1.3443239554530861e-05	0.030155073488364884
144	1.774651759300222e-05	0.02483843244418118
145	1.5798514816439506e-05	0.02922349612949586
146	2.7298995688720962e-05	0.022057138426963212
147	1.9494826977176083e-05	0.02952045277866932
148	1.669755149757285e-05	0.023590119854486703
149	1.653506781801317e-05	0.028058745585749827
150	1.6417187166772873e-05	0.015096246592094902
151	3.03970534783482e-05	0.037011525320269925
152	1.6079361889747776e-05	0.02446414983502444
153	2.5177146732266453e-05	0.019127204033306547
154	2.3009509135618264e-05	0.02596475967789097
155	2.1508182294410413e-05	0.034506329750164266
156	1.9723665625590373e-05	0.026009175232853565
157	1.2951341089501023e-05	0.024772377345530096
158	2.4132745123972565e-05	0.022838478301195064
159	1.531685915816261e-05	0.03166183874931149
160	1.5113222781484859e-05	0.023570387043607127
161	1.2045710791344644e-05	0.02665175549761857
162	1.4618836035255878e-05	0.021057875510905696
163	2.025738084968781e-05	0.02381412708250638
164	1.0485628374190537e-05	0.03422405300403881
165	1.7491542305334007e-05	0.024726635867770522
166	1.407456054043632e-05	0.03008240761919559
167	2.400896416591275e-05	0.028202855334422253
168	2.5350513183072798e-05	0.03154155750685768
169	1.8071957602949773e-05	0.030512295746174437
170	2.4798747365772922e-05	0.020316081643213926
171	1.5057127802524384e-05	0.03622194431402083
172	2.20747423578041e-05	0.03227072120055763
173	1.994075468024492e-05	0.02571601646919382
174	1.2313327399565699e-05	0.025752600277367713
175	1.5472668854599192e-05	0.016466425379465535
176	1.932847631006679e-05	0.027136859709778305
177	2.493387984637413e-05	0.032014784302114754
178	2.311347430287297e-05	0.02842845273700365
179	1.8668713222593294e-05	0.027651349937202266
180	1.946716115162027e-05	0.023861172233390703
181	2.836751749177302e-05	0.024545991218267366
182	1.4302112073871776e-05	0.0201836039694718
183	2.1920605551577557e-05	0.029174141195501976
184	1.4533834794702716e-05	0.035390991058883346
185	2.089675555225906e-05	0.030933069555825574
186	2.4091441303122907e-05	0.03545632435693126
187	1.8029568107792715e-05	0.026858738407130253
188	1.4963822237423763e-05	0.026534990730437163
189	2.1466320572392783e-05	0.014310567037810487
190	2.2769717995536898e-05	0.01602749094947345
191	2.4661595030048278e-05	0.013869683214792462
192	1.3871042221794139e-05	0.021950058623730503
193	2.227107039083631e-05	0.024911957736187443
194	2.0551651522163206e-05	0.022770715217441576
195	1.3507805304700804e-05	0.024025533630365484
196	1.2797620989808342e-05	0.02588221586152906
197	1.8212619753162074e-05	0.01327251860001535
198	2.4385779797360396e-05	0.025088214319774482
199	1.4851550668708302e-05	0.022918649119047427
200	1.94291024010404e-05	0.014562854337693113
201	1.3897844700710982e-05	0.03461893431431808
202	2.444730024081781e-05	0.025899538747358147
203	2.072400780157857e-05	0.021522692526521954
204	1.632206243437368e-05	0.027529148560442383
205	1.65404164601049e-05	0.03107708572781041
206	2.4592122326569377e-05	0.022104623793323234
207	2.6469507261366043e-05	0.024129705050153882
208	1.5927525748561655e-05	0.027106512080388397
209	1.1393252583348501e-05	0.025942924585149817
210	1.3344192005360599e-05	0.025252427293086438
211	1.55838867834171e-05	0.03319039712501454
212	2.114667945207066e-05	0.02560213821273807
213	1.1956511085486898e-05	0.01518682540181264
214	3.243727654059919e-05	0.027155926079998394
215	1.636596710231919e-05	0.02781167300392095
216	2.7153554852415995e-05	0.030819356721759228
217	1.5858429500074933e-05	0.02790268267128001
218	1.7586212251133326e-05	0.03851190160535813
219	2.4384740701710594e-05	0.03539554133637715
220	2.5246719663876704e-05	0.02328404695157193
221	2.3381402793259953e-05	0.0357701427790071
222	1.842765630120924e-05	0.02599368711795373
223	1.605710392033055e-05	0.02288945663189156
224	3.3397381407757054e-05	0.026779113209240313
225	2.0213317059321334e-05	0.02605568956248442
226	2.769787142413438e-05	0.027102056562344167
227	2.3104888865851936e-05	0.020945838301711872
228	2.2852966931642682e-05	0.021757789227488722
229	2.5276862605262684e-05	0.018420142570850336
230	1.4563736108239023e-05	0.02781640985780161
231	3.139516672186898e-05	0.023054957114417837
232	2.017439410310906e-05	0.021195664689141715
