draw	mask_moran_section_median_abs_delta	global_moran_section_median_abs_delta
1	1.9855319311923303e-05	0.04825280514817504
2	2.050790722635948e-05	0.03745132195578782
3	3.2096790289593e-05	0.029071446145648966
4	2.7106489192352257e-05	0.03448847292052723
5	1.1441440269266412e-05	0.04629553741093803
6	2.274261013969492e-05	0.03549772845500451
7	1.8094146303382352e-05	0.04458146705009368
8	2.543873232863092e-05	0.03284271760021104
9	1.4543974605374377e-05	0.027859175958587057
10	2.167762648461191e-05	0.03022047228707687
11	3.0530310289600404e-05	0.03825190343060411
12	2.1026605824231437e-05	0.028888166631649503
13	2.0867377299560452e-05	0.04075496405076551
14	2.329911766507653e-05	0.03396141180305673
15	2.247292752666219e-05	0.043004203872109875
16	2.5004519593113672e-05	0.038484090638659846
17	1.9896508546862757e-05	0.037780696793643515
18	2.0710848249561042e-05	0.03418368348675966
19	1.823953463539474e-05	0.03490705694605084
20	2.0950535375929835e-05	0.034516411851601675
21	2.4561713122928097e-05	0.032676869663400304
22	1.0749510758953362e-05	0.03434240754121337
23	2.064790411032691e-05	0.04579032811428956
24	1.7583906409830707e-05	0.042221329808424635
25	2.502681495453185e-05	0.02753333606678436
26	1.877245325034027e-05	0.04099703867414414
27	2.131758895146385e-05	0.04371803820681966
28	1.4960721420473333e-05	0.023270955483273015
29	2.3027227188610055e-05	0.03668070134251014
30	1.7274015098822648e-05	0.0432145101812389
31	2.107033851800333e-05	0.038047489912364535
32	1.2559697780245571e-05	0.044762942556202334
33	1.9581908187266128e-05	0.039343931353044787
34	1.230800974591495e-05	0.04563613496886393
35	2.043522064244796e-05	0.037014774133546674
36	1.2673950179925564e-05	0.03294910525819153
37	2.0699984144681438e-05	0.03532009534082234
38	2.5866396299797922e-05	0.04256319860932386
39	2.540866490946536e-05	0.04628156637884612
40	2.1529267058284507e-05	0.028866350001348157
41	1.9487182565169903e-05	0.03797001318951383
42	1.7447372955989304e-05	0.037898764572624755
43	1.7598528656181944e-05	0.03800436213769509
44	2.033816822864798e-05	0.03522050321573475
45	2.081209659565708e-05	0.03964995960036838
46	1.9720863066396976e-05	0.04134739462814746
47	2.7539007231153212e-05	0.02421734218696306
48	2.001330564710413e-05	0.022473612436261586
49	2.1326100453397667e-05	0.020752110185957934
50	1.9694583718476988e-05	0.03435222061634937
51	2.5976167575630926e-05	0.03822915292811588
52	2.0089086317093274e-05	0.032242665743747484
53	1.3604317921911413e-05	0.02461258773019448
54	1.9591661637424762e-05	0.03703358214373598
55	2.3128111729164846e-05	0.04178711746518593
56	1.4653470030143168e-05	0.04153498014007481
57	1.6440593690908445e-05	0.027240887105426714
58	2.077425597915572e-05	0.030503375957753875
59	2.103253835228358e-05	0.029840149944428268
60	3.214580612881379e-05	0.030609825902065207
61	2.152042528008602e-05	0.03505697347592038
62	2.631305871947376e-05	0.04112399662641342
63	1.7329247465378006e-05	0.025046491237913818
64	3.83917318136362e-05	0.0266076538472676
65	1.3807629656470422e-05	0.041564253679575704
66	1.3578515737966423e-05	0.03058187584973883
67	1.7063555300678157e-05	0.031993317183722975
68	1.2228283417126118e-05	0.026879170071428343
69	2.028674279903886e-05	0.03897096306270384
