cohort	analysis_unit	endpoint	n_units	median	bootstrap_ci_low	bootstrap_ci_high	positive	sign_test_p
GSE278687	patient	primary_mregDC_Tfh_local_r	18	0.41832734324688803	0.3116349444249227	0.5076556836745616	17	0.00014495849609375
GSE278687	patient	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	18	0.33083042968258614	0.1859223798963177	0.39254791526536753	17	0.00014495849609375
GSE278687	patient	mregDC_no_CCL19_Tfh_local_r	18	0.3029203003590253	0.18606361839904365	0.37837979648014464	16	0.001312255859375
GSE278687	patient	mregDC_broad_T_nonoverlap_competitive_r	18	0.4075117766396126	0.2430088799923762	0.5487330052835908	18	7.62939453125e-06
GSE278687	patient	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	18	0.4357834313133885	0.33021527044065846	0.5678957545229835	17	0.00014495849609375
GSE278687	patient	mregDC_Treg_nonoverlap_competitive_r	18	0.253644156542233	0.162700807624727	0.4220614529015849	18	7.62939453125e-06
GSE278687	patient	mregDC_exhausted_CD8_nonoverlap_competitive_r	18	0.20525486873337004	0.14908800026568275	0.22999753482742613	18	7.62939453125e-06
GSE278687	patient	mregDC_cDC_nonoverlap_competitive_r	18	0.14717720517528118	0.06555461386123258	0.2589233973584865	15	0.002349853515625
GSE278687	patient	mregDC_macrophage_nonoverlap_competitive_r	18	-0.020101747053484782	-0.14477181753043258	0.013094519307194206	6	0.237884521484375
GSE278687	patient	joint_model_Tfh_standardized_beta	18	0.15818974314426026	0.0972205848945559	0.20486911214600578	17	0.00014495849609375
