cohort	sample	program	program_genes	n_program_genes	n_genes_available	gene_coverage	spot_nonzero_fraction	score_zero_fraction
GSE278687	GSM8552940_PA01	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9986210066651344	0.001378993334865548
GSE278687	GSM8552940_PA01	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.9126637554585153	0.08733624454148471
GSE278687	GSM8552940_PA01	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.959549528843944	0.04045047115605608
GSE278687	GSM8552940_PA01	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9154217421282463	0.08457825787175362
GSE278687	GSM8552940_PA01	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8522178809469088	0.14778211905309124
GSE278687	GSM8552940_PA01	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.6334176051482417	0.3665823948517582
GSE278687	GSM8552940_PA01	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.8554355320615951	0.14456446793840497
GSE278687	GSM8552940_PA01	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.3422201792691335	0.6577798207308665
GSE278687	GSM8552940_PA01	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9986210066651344	0.001378993334865548
GSE278687	GSM8552941_PA02	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9359251259899208	0.06407487401007919
GSE278687	GSM8552941_PA02	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.5298776097912167	0.4701223902087833
GSE278687	GSM8552941_PA02	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.6681065514758819	0.33189344852411806
GSE278687	GSM8552941_PA02	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.5032397408207343	0.49676025917926564
GSE278687	GSM8552941_PA02	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.44420446364290855	0.5557955363570914
GSE278687	GSM8552941_PA02	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.33189344852411806	0.6681065514758819
GSE278687	GSM8552941_PA02	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.5226781857451404	0.4773218142548596
GSE278687	GSM8552941_PA02	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.07055435565154787	0.9294456443484521
GSE278687	GSM8552941_PA02	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9208063354931606	0.07919366450683946
GSE278687	GSM8552942_PA03	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.8497488534614545	0.15025114653854554
GSE278687	GSM8552942_PA03	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.20703210307927494	0.792967896920725
GSE278687	GSM8552942_PA03	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.048263813059620006	0.95173618694038
GSE278687	GSM8552942_PA03	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.03537890369076217	0.9646210963092379
GSE278687	GSM8552942_PA03	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.031011137803013757	0.9689888621969862
GSE278687	GSM8552942_PA03	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.03494212710198733	0.9650578728980127
GSE278687	GSM8552942_PA03	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.03952828128412317	0.9604717187158768
GSE278687	GSM8552942_PA03	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.0	1.0
GSE278687	GSM8552942_PA03	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.4402708014850404	0.5597291985149596
GSE278687	GSM8552943_PA04-1	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9973637961335676	0.0026362038664323375
GSE278687	GSM8552943_PA04-1	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.8769771528998243	0.12302284710017575
GSE278687	GSM8552943_PA04-1	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9209138840070299	0.07908611599297012
GSE278687	GSM8552943_PA04-1	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9560632688927944	0.043936731107205626
GSE278687	GSM8552943_PA04-1	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8725834797891037	0.1274165202108963
GSE278687	GSM8552943_PA04-1	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.6709138840070299	0.3290861159929701
GSE278687	GSM8552943_PA04-1	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.8782952548330404	0.12170474516695957
GSE278687	GSM8552943_PA04-1	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.19903339191564148	0.8009666080843585
GSE278687	GSM8552943_PA04-1	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9991212653778558	0.0008787346221441124
GSE278687	GSM8552944_PA04-2	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9880181347150259	0.011981865284974092
GSE278687	GSM8552944_PA04-2	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6285621761658031	0.3714378238341969
GSE278687	GSM8552944_PA04-2	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.46696891191709844	0.5330310880829016
GSE278687	GSM8552944_PA04-2	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8886010362694301	0.11139896373056994
GSE278687	GSM8552944_PA04-2	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.43426165803108807	0.5657383419689119
GSE278687	GSM8552944_PA04-2	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.22279792746113988	0.7772020725388601
GSE278687	GSM8552944_PA04-2	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.41386010362694303	0.586139896373057
GSE278687	GSM8552944_PA04-2	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.05408031088082901	0.945919689119171
GSE278687	GSM8552944_PA04-2	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9967616580310881	0.003238341968911917
GSE278687	GSM8552945_PA05-1	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9946595460614153	0.0053404539385847796
GSE278687	GSM8552945_PA05-1	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.8798397863818425	0.12016021361815754
