program	genes	role
DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	mregDC adjustment and within-section analysis mask
mregDC_strict	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	exposure program
Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	outcome program
epithelial_proxy	KRT8;KRT18;KRT19;EPCAM;KRT7;MUC1;CEACAM6;KRT17	covariate
stromal_proxy	COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;COL6A2;SPARC;TAGLN	covariate
broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	non-overlapping competition / reference program
non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	non-overlapping competition / reference program
Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	non-overlapping competition / reference program
exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	non-overlapping competition / reference program
cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	non-overlapping competition / reference program
macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	non-overlapping competition / reference program
