cohort	analysis_unit	k	mregDC_residualization	mask_definition	n_units	median_local_r	bootstrap_ci_low	bootstrap_ci_high	positive_units
GSE278687	patient	4	with_DC_core_adjustment	DC_core_above_mean	18	0.3750139522168384	0.27860277940423883	0.45235109604840934	17
GSE278687	patient	4	with_DC_core_adjustment	DC_core_above_median	18	0.37861496671962447	0.26841821011590733	0.4768138487098897	17
GSE278687	patient	4	with_DC_core_adjustment	DC_core_above_q75	18	0.40604598606861897	0.31010057280545555	0.49565685159691486	17
GSE278687	patient	4	with_DC_core_adjustment	whole_tissue	18	0.33176740735469035	0.2358637696400555	0.4089322430364379	17
GSE278687	patient	4	without_DC_core_adjustment	DC_core_above_mean	18	0.39145524591359193	0.2875433169276793	0.4882287972121643	17
GSE278687	patient	4	without_DC_core_adjustment	DC_core_above_median	18	0.39095533590455467	0.2728270922783842	0.5020562209357964	17
GSE278687	patient	4	without_DC_core_adjustment	DC_core_above_q75	18	0.4195562519458924	0.33057723846920956	0.5215394489968402	17
GSE278687	patient	4	without_DC_core_adjustment	whole_tissue	18	0.3472050207151991	0.2685434346166379	0.44009003804402735	17
GSE278687	patient	6	with_DC_core_adjustment	DC_core_above_mean	18	0.41832734324688803	0.3116349444249227	0.5076682580879301	17
GSE278687	patient	6	with_DC_core_adjustment	DC_core_above_median	18	0.4276352185995078	0.3134995640376282	0.5231716057533249	17
GSE278687	patient	6	with_DC_core_adjustment	DC_core_above_q75	18	0.44929038282247546	0.35953347077003966	0.5512967881723825	16
GSE278687	patient	6	with_DC_core_adjustment	whole_tissue	18	0.3761501633366099	0.27722049113564773	0.4524301256165473	17
GSE278687	patient	6	without_DC_core_adjustment	DC_core_above_mean	18	0.4478705613664055	0.3161036666110742	0.5321568842855495	17
GSE278687	patient	6	without_DC_core_adjustment	DC_core_above_median	18	0.45956140637267373	0.31796951527400164	0.5453039902296628	17
GSE278687	patient	6	without_DC_core_adjustment	DC_core_above_q75	18	0.47549253265290703	0.36591167412221426	0.58315554462258	16
GSE278687	patient	6	without_DC_core_adjustment	whole_tissue	18	0.3993464292383859	0.32698692434846	0.4955274898620842	17
GSE278687	patient	12	with_DC_core_adjustment	DC_core_above_mean	18	0.4747873381436908	0.36265058743099576	0.5934552281412143	16
GSE278687	patient	12	with_DC_core_adjustment	DC_core_above_median	18	0.4773494173285632	0.3603468569319177	0.6015081823002382	16
GSE278687	patient	12	with_DC_core_adjustment	DC_core_above_q75	18	0.506934963397608	0.3962521900354381	0.6271596914821223	16
GSE278687	patient	12	with_DC_core_adjustment	whole_tissue	18	0.4284647093130919	0.3509650462470437	0.5408851000638624	17
GSE278687	patient	12	without_DC_core_adjustment	DC_core_above_mean	18	0.5199073801788897	0.3700572962122598	0.6021950195737739	17
GSE278687	patient	12	without_DC_core_adjustment	DC_core_above_median	18	0.5233653719581108	0.3666890189999905	0.624568873836653	16
GSE278687	patient	12	without_DC_core_adjustment	DC_core_above_q75	18	0.5355296005780203	0.40717965869569556	0.6523619407497345	17
GSE278687	patient	12	without_DC_core_adjustment	whole_tissue	18	0.4742589838317228	0.38028217664194275	0.5702784129418764	17
GSE277116	sample	4	with_DC_core_adjustment	DC_core_above_mean	18	0.37157108989484133	0.24359027628642632	0.4011544113364919	17
