cohort	sample	unit	k	coordinate_unit	n_edges	distance_q05	distance_q25	distance_median	distance_q75	distance_q95	distance_mean
GSE278687	GSM8552940_PA01	PA01	4	image_pixels	17404	364.0	364.0	364.16617086159994	364.66422912043345	365.5311204261547	366.63954660933996
GSE278687	GSM8552940_PA01	PA01	6	image_pixels	26106	364.0	364.0	364.66422912043345	365.5311204261547	366.0300534109187	374.853262739402
GSE278687	GSM8552940_PA01	PA01	12	image_pixels	52212	364.0	364.66422912043345	630.4871132703665	631.3517244769353	634.0007886430426	509.8857416916047
GSE278687	GSM8552941_PA02	PA02	4	image_pixels	5556	363.0	364.0	364.66422912043345	364.66422912043345	365.5311204261547	372.1713303009952
GSE278687	GSM8552941_PA02	PA02	6	image_pixels	8334	363.00137740785505	364.0	364.66422912043345	365.5311204261547	630.8502199413107	393.1587869956193
GSE278687	GSM8552941_PA02	PA02	12	image_pixels	16668	364.0	364.66422912043345	630.4871132703665	633.0	730.1951793869911	531.4797531003514
GSE278687	GSM8552942_PA03	PA03	4	image_pixels	18316	368.01222805771005	368.021738488367	369.02167957994016	369.3846233940985	369.77019890737546	371.114270788411
GSE278687	GSM8552942_PA03	PA03	6	image_pixels	27474	368.01222805771005	369.0121949204389	369.3846233940985	369.77019890737546	370.7465441511222	376.90786726344055
GSE278687	GSM8552942_PA03	PA03	12	image_pixels	54948	368.01222805771005	369.3846233940985	638.1614215854794	639.5248235995222	642.0194701097467	513.6986264832553
GSE278687	GSM8552943_PA04-1	PA04	4	image_pixels	9104	364.0	364.0	364.66422912043345	364.66422912043345	365.5311204261547	372.81705579388415
GSE278687	GSM8552943_PA04-1	PA04	6	image_pixels	13656	364.0	364.00137362378183	364.66422912043345	365.5311204261547	630.8502199413107	388.64857466586244
GSE278687	GSM8552943_PA04-1	PA04	12	image_pixels	27312	364.0	364.66422912043345	630.8502199413107	632.2167349888803	730.1951793869911	528.3141246974499
GSE278687	GSM8552944_PA04-2	PA04	4	image_pixels	12352	364.0	364.0	364.66422912043345	364.66422912043345	365.5311204261547	367.966209726661
GSE278687	GSM8552944_PA04-2	PA04	6	image_pixels	18528	364.0	364.0	364.66422912043345	365.5311204261547	366.0300534109187	376.0146842495203
GSE278687	GSM8552944_PA04-2	PA04	12	image_pixels	37056	364.0	364.66422912043345	630.4871132703665	631.3517244769353	727.0	512.1597309526724
GSE278687	GSM8552945_PA05-1	PA05	4	image_pixels	8988	364.0	364.0	364.16617086159994	364.66422912043345	365.5311204261547	367.4680337807861
GSE278687	GSM8552945_PA05-1	PA05	6	image_pixels	13482	364.0	364.0	364.66422912043345	365.5311204261547	366.0300534109187	376.41598365308903
GSE278687	GSM8552945_PA05-1	PA05	12	image_pixels	26964	364.0	364.66422912043345	630.4871132703665	631.3517244769353	728.0	512.8789463604838
GSE278687	GSM8552946_PA05-2	PA05	4	image_pixels	19968	368.06657006579667	369.0663896916109	369.57949077295945	369.67553340733815	370.0945825056076	370.3103918107545
GSE278687	GSM8552946_PA05-2	PA05	6	image_pixels	29952	368.06657006579667	369.0663896916109	369.67553340733815	370.0945825056076	370.95147930693037	374.6605671801568
GSE278687	GSM8552946_PA05-2	PA05	12	image_pixels	59904	368.06657006579667	369.67553340733815	638.4958887886437	639.6889869303676	642.1121397388465	511.15147669404536
GSE278687	GSM8552947_PA06	PA06	4	image_pixels	10320	363.00137740785505	364.0	364.16617086159994	364.66422912043345	365.5311204261547	368.5672958718657
GSE278687	GSM8552947_PA06	PA06	6	image_pixels	15480	364.0	364.0	364.66422912043345	365.5311204261547	366.0300534109187	378.9915011270954
GSE278687	GSM8552947_PA06	PA06	12	image_pixels	30960	364.0	364.66422912043345	630.4871132703665	631.3517244769353	728.0	515.2491128000967
GSE278687	GSM8552948_PA08	PA08	4	image_pixels	10708	364.0	364.0	364.66422912043345	365.1643465619282	365.5311204261547	367.8594256573041
GSE278687	GSM8552948_PA08	PA08	6	image_pixels	16062	364.0	364.00137362378183	365.0342449688796	365.5311204261547	366.0300534109187	375.38690041216006
GSE278687	GSM8552948_PA08	PA08	12	image_pixels	32124	364.0	365.0342449688796	630.8502199413107	631.8544136112369	634.0007886430426	511.5869193865138
GSE278687	GSM8552949_PA11-1	PA11	4	image_pixels	7296	364.0	364.0	364.66422912043345	365.1643465619282	365.5311204261547	370.6715672665017
GSE278687	GSM8552949_PA11-1	PA11	6	image_pixels	10944	364.0	364.00137362378183	365.1643465619282	365.5311204261547	630.8502199413107	383.0673512533576
GSE278687	GSM8552949_PA11-1	PA11	12	image_pixels	21888	364.0	365.1643465619282	630.8502199413107	632.2167349888803	730.1951793869911	521.5296538241107
GSE278687	GSM8552950_PA11-2	PA11	4	image_pixels	19960	368.0054347424777	369.00135501106223	369.4996617048519	369.6281915655244	370.1297069947237	370.4660434776478
GSE278687	GSM8552950_PA11-2	PA11	6	image_pixels	29940	369.00135501106223	369.00135501106223	369.6281915655244	370.3687351815755	370.994609125254	374.8998016478439
GSE278687	GSM8552950_PA11-2	PA11	12	image_pixels	59880	369.00135501106223	369.6281915655244	639.052423514691	640.1452960070862	642.0031152572392	511.48207465803966
GSE278687	GSM8552951_PA12	PA12	4	image_pixels	19420	368.01222805771005	369.0121949204389	369.3846233940985	369.77019890737546	370.25666773199373	371.0928582571037
GSE278687	GSM8552951_PA12	PA12	6	image_pixels	29130	368.021738488367	369.0121949204389	369.77019890737546	370.2769233965303	371.1387880564358	378.664146378564
GSE278687	GSM8552951_PA12	PA12	12	image_pixels	58260	369.0121949204389	369.77019890737546	638.8466169590318	640.2163696751279	642.0280367709809	515.252381118176
GSE278687	GSM8552952_PA21	PA21	4	image_pixels	17300	368.0	369.0	369.12870384189847	369.99594592373575	369.99594592373575	371.1998289689984
GSE278687	GSM8552952_PA21	PA21	6	image_pixels	25950	368.0	369.0	369.99594592373575	369.99594592373575	370.49426446302783	376.46275169474154
GSE278687	GSM8552952_PA21	PA21	12	image_pixels	51900	369.0	369.99594592373575	638.9123570568971	639.4137940332536	642.000778815727	513.3495247761736
GSE278687	GSM8552953_PA22	PA22	4	image_pixels	17288	367.0054495508207	367.0054495508207	367.6424893833682	368.0054347424777	368.40195439221003	369.2332994753025
