cohort	analysis_unit	predictor	n_units	median_VIF	max_VIF	median_standardized_beta_descriptive
GSE278687	patient	Tfh_like	18	1.8440377645406887	2.923796252852407	0.15818974314426026
GSE278687	patient	Treg_nonoverlap	18	1.3511600355365578	1.6930321812170788	0.06761085435092994
GSE278687	patient	broad_T_nonoverlap	18	1.8612107374096816	3.008071124276531	0.15004848802300616
GSE278687	patient	cDC_nonoverlap	18	1.153379849983833	1.4529285516684949	0.004429243381885349
GSE278687	patient	exhausted_CD8_nonoverlap	18	1.2547412490014684	1.7002628900579067	0.022653589981413334
GSE278687	patient	macrophage_nonoverlap	18	1.1390360307457832	1.9350436849766688	-0.10717912435889307
GSE278687	patient	non_Tfh_CD4_nonoverlap	18	1.3146141899094153	2.337704161303246	0.2177122428870717
GSE277116	sample	Tfh_like	18	1.530669597629664	2.1007110475248334	0.16941724103989242
GSE277116	sample	Treg_nonoverlap	18	1.1568410345068856	1.511171082520459	0.06667495407670407
GSE277116	sample	broad_T_nonoverlap	18	1.5600920194114725	2.3042372844186767	0.19285357449730306
GSE277116	sample	cDC_nonoverlap	18	1.07774735541414	1.3270408080299478	0.02217753898264225
GSE277116	sample	exhausted_CD8_nonoverlap	18	1.1048357003668463	1.6385771917331022	0.025710025543231926
GSE277116	sample	macrophage_nonoverlap	18	1.0879262012078248	1.9228739207296561	-0.03325906247165345
GSE277116	sample	non_Tfh_CD4_nonoverlap	18	1.4353184958369034	2.1027478626026843	0.20370004803240782
