cohort	sample	unit	predictor	spots	VIF	standardized_beta_descriptive
GSE278687	GSM8552940_PA01	PA01	Tfh_like	2456	2.0053749351940557	0.23065921255328675
GSE278687	GSM8552940_PA01	PA01	broad_T_nonoverlap	2456	2.0676180460404803	0.2882483806333857
GSE278687	GSM8552940_PA01	PA01	non_Tfh_CD4_nonoverlap	2456	1.8075152922222335	0.16466804529128035
GSE278687	GSM8552940_PA01	PA01	Treg_nonoverlap	2456	1.4012890475918467	0.09253131788398705
GSE278687	GSM8552940_PA01	PA01	exhausted_CD8_nonoverlap	2456	1.1931452348622962	-0.01147194414558178
GSE278687	GSM8552940_PA01	PA01	cDC_nonoverlap	2456	1.0926042845972186	-0.03309165886594882
GSE278687	GSM8552940_PA01	PA01	macrophage_nonoverlap	2456	1.1315178481020498	-0.15922031637279818
GSE278687	GSM8552941_PA02	PA02	Tfh_like	816	1.33852260896618	0.0972205848945559
GSE278687	GSM8552941_PA02	PA02	broad_T_nonoverlap	816	1.3475468258297985	-0.008995258612754199
GSE278687	GSM8552941_PA02	PA02	non_Tfh_CD4_nonoverlap	816	1.1073199865207164	0.08284711408657248
GSE278687	GSM8552941_PA02	PA02	Treg_nonoverlap	816	1.123109758215175	0.08353975398433748
GSE278687	GSM8552941_PA02	PA02	exhausted_CD8_nonoverlap	816	1.304030017742057	0.010202914373042798
GSE278687	GSM8552941_PA02	PA02	cDC_nonoverlap	816	1.1849076805464427	-0.051917645037930275
GSE278687	GSM8552941_PA02	PA02	macrophage_nonoverlap	816	1.1357380715967134	0.056965721481358374
GSE278687	GSM8552942_PA03	PA03	Tfh_like	2335	1.010634521579021	-0.016261842900593126
GSE278687	GSM8552942_PA03	PA03	broad_T_nonoverlap	2335	1.0213885025306415	0.06548631004449008
GSE278687	GSM8552942_PA03	PA03	non_Tfh_CD4_nonoverlap	2335	1.0105097687688778	0.03132217389232743
GSE278687	GSM8552942_PA03	PA03	Treg_nonoverlap	2335	1.0010453627190694	0.0018600523709905205
GSE278687	GSM8552942_PA03	PA03	exhausted_CD8_nonoverlap	2335	1.017805372078737	0.03949056545757932
GSE278687	GSM8552942_PA03	PA03	cDC_nonoverlap	2335	nan	0.0
GSE278687	GSM8552942_PA03	PA03	macrophage_nonoverlap	2335	1.0087708323490214	-0.12771487364864434
GSE278687	GSM8552943_PA04-1	PA04	Tfh_like	1241	1.207121065506711	0.023132126784865967
GSE278687	GSM8552943_PA04-1	PA04	broad_T_nonoverlap	1241	1.2259110895610537	0.047065056221912295
GSE278687	GSM8552943_PA04-1	PA04	non_Tfh_CD4_nonoverlap	1241	1.3829390023414356	0.1529691931194999
GSE278687	GSM8552943_PA04-1	PA04	Treg_nonoverlap	1241	1.0913012705493605	0.003083862893175436
GSE278687	GSM8552943_PA04-1	PA04	exhausted_CD8_nonoverlap	1241	1.0846866288609853	0.0863189619947481
GSE278687	GSM8552943_PA04-1	PA04	cDC_nonoverlap	1241	1.388171705452928	0.04683884619605759
GSE278687	GSM8552943_PA04-1	PA04	macrophage_nonoverlap	1241	1.3252775681283073	0.2009020697337222
GSE278687	GSM8552944_PA04-2	PA04	Tfh_like	1512	1.0683331564904242	0.09614821276770898
GSE278687	GSM8552944_PA04-2	PA04	broad_T_nonoverlap	1512	1.1372098272070696	0.21357205557317607
GSE278687	GSM8552944_PA04-2	PA04	non_Tfh_CD4_nonoverlap	1512	1.075336394039348	-0.023935115664138282
GSE278687	GSM8552944_PA04-2	PA04	Treg_nonoverlap	1512	1.026222696067446	0.09273566217131331
GSE278687	GSM8552944_PA04-2	PA04	exhausted_CD8_nonoverlap	1512	1.1269101187108312	0.014759440538898324
GSE278687	GSM8552944_PA04-2	PA04	cDC_nonoverlap	1512	1.1247233770696707	-0.10987579158624622
GSE278687	GSM8552944_PA04-2	PA04	macrophage_nonoverlap	1512	1.066042492055893	-0.0037421734301151107
GSE278687	GSM8552945_PA05-1	PA05	Tfh_like	1411	1.6868141931301939	0.2410096444815829
