cohort	sample	unit	spots	dc_enriched_spots	primary_mregDC_Tfh_local_r	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	mregDC_no_CCL19_Tfh_local_r	mregDC_broad_T_nonoverlap_competitive_r	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	mregDC_Treg_nonoverlap_competitive_r	mregDC_exhausted_CD8_nonoverlap_competitive_r	mregDC_cDC_nonoverlap_competitive_r	mregDC_macrophage_nonoverlap_competitive_r	joint_model_Tfh_standardized_beta	graph_null_p	graph_null_median_r	outcome_moran	surrogate_moran_median	surrogate_moran_abs_delta_median	block_null_eligible	gsm	stratum	analysis_set
GSE277116	pdac2	GSM8514530	2553	1471	0.2699440571783039	0.23003401999627668	0.06380035811049799	0.280582359258862	0.2489888729250801	0.14772356595310368	-0.007119765789829646	0.1402746287633713	-0.002364904503528665	0.15025132054653728	0.005	-0.00399449598404669	0.09178249515345614	0.09178800913275355	1.6553203465316524e-05	1	GSM8514530	ffpe	main_18
GSE277116	pdac4	GSM8514532	2613	1484	0.18099258137144988	0.1652791576074077	0.0866215927448372	0.2255328125167686	0.10957361807689635	-0.010406100672031873	0.06966859207816777	-0.00286072764377472	-0.019278038148718625	0.12594874628073327	0.005	0.002735461232605523	0.06361855199359694	0.06362188985768216	1.2381773245834227e-05	1	GSM8514532	ffpe	main_18
GSE277116	pdac5	GSM8514533	3250	1671	0.30970765932892186	0.2702514300398421	0.14193447923560312	0.37124358911220723	0.2186354617339123	0.09790402981155397	0.13742488657637567	0.17149171146495498	0.05738813678294405	0.2055952618016807	0.005	-0.0021742193571582594	0.06311740816091992	0.06311463786457207	1.2633578045082028e-05	1	GSM8514533	ffpe	main_18
GSE277116	pdac6	GSM8514534	2929	1674	0.4199530786558533	0.4150657721396983	0.19962515055742866	0.22678288359188015	0.2520297691409066	0.13260568965534617	0.1756568230633551	-0.001774735907703839	-0.008519997588343918	0.4243703475938502	0.005	0.003112466787367291	0.18163375347960622	0.181632149028874	2.573724572660363e-05	1	GSM8514534	ffpe	main_18
GSE277116	pdac7	GSM8514535	4992	2757	0.4314539898927193	0.36102489488284295	0.2580974856075799	0.37723245763918584	0.44457182904055986	0.2779753996344915	0.09831318466136399	0.20582365696329824	-0.11237209094411454	0.24403890079912258	0.005	-0.0021403653334559386	0.17968018391978727	0.17968480707319426	2.2465808440258472e-05	1	GSM8514535	ffpe	main_18
GSE277116	pdac8	GSM8514536	3320	1987	0.5168811174213416	0.3895791197433282	0.2599762201742525	0.5027489100237856	0.4625916900117867	0.2946162898355656	0.17769630750048485	0.21266774001858488	-0.026754230091987935	0.2482465060409471	0.005	-0.0027231149106075664	0.17866458425931844	0.1786682240838893	2.297304711965098e-05	1	GSM8514536	ffpe	main_18
GSE277116	pdac9	GSM8514537	3134	1811	0.17390476892753304	0.13363756067772153	0.06880888578976573	0.2701933556298454	0.045934050157534385	0.1305168203280401	0.12252631736803599	0.09412472302010476	-0.2155072591942705	0.08530419235989214	0.005	0.0020548332337269387	0.05572666855467961	0.05572456562731949	1.3197926498162427e-05	1	GSM8514537	ffpe	main_18
GSE277116	pdac11	GSM8514539	3024	1590	0.305013652295327	0.25323869423120127	0.0706000778417094	0.30357850168361405	0.4083849709319071	0.17940759558962638	0.18244857517837848	0.0785624868925407	0.039183434357225724	0.11276452901692388	0.005	-0.0023819734701799725	0.12366171534262374	0.12366342062823354	1.606558471166364e-05	1	GSM8514539	ffpe	main_18
GSE277116	pdac13	GSM8514541	2997	1481	0.407046819875278	0.37787838323577755	0.2054262445594792	0.2576932773508125	0.3071356735662026	0.16647703011015053	0.010838120314390166	0.10246705277559064	0.08451102789197946	0.29271277475057733	0.005	0.007832606840285021	0.06380902449011785	0.06380671933401992	1.1355265751189503e-05	1	GSM8514541	frozen	sensitivity_low_detection_frozen
GSE277116	pdac14	GSM8514542	2235	1236	0.12983328066535604	0.11972727603542654	0.12358594509017592	0.20061024728789573	-0.02516521231003546	-0.06719878643990955	0.03887366520971752	0.023816617368478045	0.03234060493001404	0.11297499448082868	0.015	-0.001713112554700058	0.029510273837627988	0.029509368825900568	1.231742819952572e-05	1	GSM8514542	frozen	sensitivity_low_detection_frozen
