cohort	analysis_unit	endpoint	n_units	median	bootstrap_ci_low	bootstrap_ci_high	positive	sign_test_p
GSE277116	sample (main 18)	primary_mregDC_Tfh_local_r	18	0.41363346629497855	0.28747885473681545	0.47018967558860414	18	7.62939453125e-06
GSE277116	sample (main 18)	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	18	0.35002481928097584	0.241636357113739	0.3955018773795934	18	7.62939453125e-06
GSE277116	sample (main 18)	mregDC_no_CCL19_Tfh_local_r	18	0.2025011059968828	0.11703012422944553	0.3151246133811799	18	7.62939453125e-06
GSE277116	sample (main 18)	mregDC_broad_T_nonoverlap_competitive_r	18	0.37423802337569656	0.292080430471238	0.5013211034265963	18	7.62939453125e-06
GSE277116	sample (main 18)	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	18	0.4398389473288988	0.2520297691409066	0.4826743344987095	18	7.62939453125e-06
GSE277116	sample (main 18)	mregDC_Treg_nonoverlap_competitive_r	18	0.23025062815922284	0.14016462780422492	0.2968677197472318	17	0.00014495849609375
GSE277116	sample (main 18)	mregDC_exhausted_CD8_nonoverlap_competitive_r	18	0.133335028042011	0.08999249537744493	0.17667656528191997	16	0.001312255859375
GSE277116	sample (main 18)	mregDC_cDC_nonoverlap_competitive_r	18	0.10344070259850836	0.08634360495632273	0.17149171146495498	16	0.001312255859375
GSE277116	sample (main 18)	mregDC_macrophage_nonoverlap_competitive_r	18	0.00888347269323938	-0.02068905418941456	0.054002347402012804	10	0.8145294189453125
GSE277116	sample (main 18)	joint_model_Tfh_standardized_beta	18	0.16941724103989242	0.12350919417503696	0.2171002628933148	17	0.00014495849609375
GSE277116	sample (ffpe)	primary_mregDC_Tfh_local_r	8	0.30736065581212446	0.18099258137144988	0.4314539898927193	8	0.0078125
GSE277116	sample (ffpe)	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	8	0.2617450621355217	0.1652791576074077	0.3895791197433282	8	0.0078125
GSE277116	sample (ffpe)	mregDC_no_CCL19_Tfh_local_r	8	0.11427803599022016	0.06880888578976573	0.22886131808250426	8	0.0078125
GSE277116	sample (ffpe)	mregDC_broad_T_nonoverlap_competitive_r	8	0.292080430471238	0.22678288359188015	0.37723245763918584	8	0.0078125
GSE277116	sample (ffpe)	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	8	0.25050932103299334	0.10957361807689635	0.44457182904055986	8	0.0078125
GSE277116	sample (ffpe)	mregDC_Treg_nonoverlap_competitive_r	8	0.14016462780422492	0.09790402981155397	0.2779753996344915	7	0.0703125
GSE277116	sample (ffpe)	mregDC_exhausted_CD8_nonoverlap_competitive_r	8	0.1299756019722058	0.06966859207816777	0.17769630750048485	7	0.0703125
GSE277116	sample (ffpe)	mregDC_cDC_nonoverlap_competitive_r	8	0.11719967589173802	-0.001774735907703839	0.20582365696329824	6	0.2890625
GSE277116	sample (ffpe)	mregDC_macrophage_nonoverlap_competitive_r	8	-0.01389901786853127	-0.11237209094411454	0.039183434357225724	2	0.2890625
GSE277116	sample (ffpe)	joint_model_Tfh_standardized_beta	8	0.177923291174109	0.11276452901692388	0.2482465060409471	8	0.0078125
GSE277116	sample (frozen)	primary_mregDC_Tfh_local_r	10	0.4532988431161937	0.32584452025205646	0.5411733468055144	10	0.001953125
GSE277116	sample (frozen)	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	10	0.38189924996449864	0.2977559155783901	0.4611961225295699	10	0.001953125
GSE277116	sample (frozen)	mregDC_no_CCL19_Tfh_local_r	10	0.3151246133811799	0.15863338371142505	0.42613384550795275	10	0.001953125
GSE277116	sample (frozen)	mregDC_broad_T_nonoverlap_competitive_r	10	0.49264171771200627	0.35134552410881004	0.5589671873186685	10	0.001953125
GSE277116	sample (frozen)	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	10	0.48855450213220897	0.3696115016455353	0.5493129817706459	10	0.001953125
GSE277116	sample (frozen)	mregDC_Treg_nonoverlap_competitive_r	10	0.29298321126329807	0.19480623966314298	0.3646023002917988	10	0.001953125
GSE277116	sample (frozen)	mregDC_exhausted_CD8_nonoverlap_competitive_r	10	0.13741347917806487	0.06666392943513093	0.28761880756228675	9	0.021484375
GSE277116	sample (frozen)	mregDC_cDC_nonoverlap_competitive_r	10	0.10344070259850836	0.08899213890227448	0.1796930362533023	10	0.001953125
